ci_ODE,id,x,y,z
3.0385569098366e-07,0,-1.99975,0,0
9.115670731181e-07,1,-1.99925,0,0
1.5192790291747e-06,2,-1.99875,0,0
2.126990412646e-06,3,-1.99825,0,0
2.7347023707079e-06,4,-1.99775,0,0
3.3424131834321e-06,5,-1.99725,0,0
3.9501251448361e-06,6,-1.99675,0,0
4.5578371084126e-06,7,-1.99625,0,0
5.1655485010749e-06,8,-1.99575,0,0
5.7732593231572e-06,9,-1.99525,0,0
6.3809707218354e-06,10,-1.99475,0,0
6.9886826974437e-06,11,-1.99425,0,0
7.5963946768954e-06,12,-1.99375,0,0
8.2041055136833e-06,13,-1.99325,0,0
8.8118180752455e-06,14,-1.99275,0,0
9.4195289213915e-06,15,-1.99225,0,0
1.0027240919559e-05,16,-1.99175,0,0
1.0634952349821e-05,17,-1.99125,0,0
1.1242663785932e-05,18,-1.99075,0,0
1.1850374654804e-05,19,-1.99025,0,0
1.2458087823878e-05,20,-1.98975,0,0
1.3065798132698e-05,21,-1.98925,0,0
1.3673510168967e-05,22,-1.98875,0,0
1.4281221065914e-05,23,-1.98825,0,0
1.4888933117556e-05,24,-1.98775,0,0
1.5496645177387e-05,25,-1.98725,0,0
1.6104356098899e-05,26,-1.98675,0,0
1.6712067602689e-05,27,-1.98625,0,0
1.7319779115669e-05,28,-1.98575,0,0
1.7927491211596e-05,29,-1.98525,0,0
1.8535202743961e-05,30,-1.98475,0,0
1.9142914286519e-05,31,-1.98425,0,0
1.9750625266185e-05,32,-1.98375,0,0
2.0358336830133e-05,33,-1.98325,0,0
2.0966048405278e-05,34,-1.98275,0,0
2.1573759991953e-05,35,-1.98225,0,0
2.2181470443652e-05,36,-1.98175,0,0
2.2789183201232e-05,37,-1.98125,0,0
2.3396893677662e-05,38,-1.98075,0,0
2.4004605887223e-05,39,-1.98025,0,0
2.4612317536564e-05,40,-1.97975,0,0
2.5220028052599e-05,41,-1.97925,0,0
2.5827740302766e-05,42,-1.97875,0,0
2.6435451993717e-05,43,-1.97825,0,0
2.7043162552365e-05,44,-1.97775,0,0
2.7650874272727e-05,45,-1.97725,0,0
2.8258586008296e-05,46,-1.97675,0,0
2.8866297759406e-05,47,-1.97625,0,0
2.9474007806128e-05,48,-1.97575,0,0
3.0081720162744e-05,49,-1.97525,0,0
3.0689431962482e-05,50,-1.97475,0,0
3.1297143205678e-05,51,-1.97425,0,0
3.1904855039507e-05,52,-1.97375,0,0
3.2512565170619e-05,53,-1.97325,0,0
3.3120277613295e-05,54,-1.97275,0,0
3.3727988927345e-05,55,-1.97225,0,0
3.4335700259943e-05,56,-1.97175,0,0
3.4943411038004e-05,57,-1.97125,0,0
3.5551122408703e-05,58,-1.97075,0,0
3.6158834372375e-05,59,-1.97025,0,0
3.6766545782512e-05,60,-1.96975,0,0
3.7374256639448e-05,61,-1.96925,0,0
3.798196866378e-05,62,-1.96875,0,0
3.8589678988737e-05,63,-1.96825,0,0
3.9197391055181e-05,64,-1.96775,0,0
3.980510256976e-05,65,-1.96725,0,0
4.041281353281e-05,66,-1.96675,0,0
4.1020524518085e-05,67,-1.96625,0,0
4.1628236099341e-05,68,-1.96575,0,0
4.2235948276911e-05,69,-1.96525,0,0
4.2843659330868e-05,70,-1.96475,0,0
4.3451370408386e-05,71,-1.96425,0,0
4.4059081509801e-05,72,-1.96375,0,0
4.4666792635447e-05,73,-1.96325,0,0
4.5274503785658e-05,74,-1.96275,0,0
4.5882214960768e-05,75,-1.96225,0,0
4.6489926161111e-05,76,-1.96175,0,0
4.7097637960443e-05,77,-1.96125,0,0
4.7705348638834e-05,78,-1.96075,0,0
4.8313059916883e-05,79,-1.96025,0,0
4.8920771221501e-05,80,-1.95975,0,0
4.9528483699866e-05,81,-1.95925,0,0
5.0136193338365e-05,82,-1.95875,0,0
5.0743904724699e-05,83,-1.95825,0,0
5.1351616138941e-05,84,-1.95775,0,0
5.1959327008002e-05,85,-1.95725,0,0
5.2567037905639e-05,86,-1.95675,0,0
5.3174749405607e-05,87,-1.95625,0,0
5.3782460361398e-05,88,-1.95575,0,0
5.4390172493609e-05,89,-1.95525,0,0
5.4997882362048e-05,90,-1.95475,0,0
5.5605593980997e-05,91,-1.95425,0,0
5.6213304483684e-05,92,-1.95375,0,0
5.682101673755e-05,93,-1.95325,0,0
5.7428727302401e-05,94,-1.95275,0,0
5.8036439045678e-05,95,-1.95225,0,0
5.8644149100609e-05,96,-1.95175,0,0
5.9251860334634e-05,97,-1.95125,0,0
5.9859572174667e-05,98,-1.95075,0,0
6.0467282327356e-05,99,-1.95025,0,0
6.1074993660142e-05,100,-1.94975,0,0
6.1682703879674e-05,101,-1.94925,0,0
6.2290415279972e-05,102,-1.94875,0,0
6.2898126141105e-05,103,-1.94825,0,0
6.3505838183672e-05,104,-1.94775,0,0
6.411354796748e-05,105,-1.94725,0,0
6.4721260080233e-05,106,-1.94675,0,0
6.5328969934894e-05,107,-1.94625,0,0
6.5936680972326e-05,108,-1.94575,0,0
