grad_psi_e,id,x,y,z
-446.98045900128,0,-1.99975,0,0
129.52975055816,1,-1.99925,0,0
-33.64729855119,2,-1.99875,0,0
9.0045389808849,3,-1.99825,0,0
-2.3908648733225,4,-1.99775,0,0
0.63615420513861,5,-1.99725,0,0
-0.16916652281634,6,-1.99675,0,0
0.044996741818522,7,-1.99625,0,0
-0.011963041273134,8,-1.99575,0,0
0.0031857893514484,9,-1.99525,0,0
-0.00084317323739924,10,-1.99475,0,0
0.00022836203311272,11,-1.99425,0,0
-5.6621615613039e-05,12,-1.99375,0,0
1.9172126258127e-05,13,-1.99325,0,0
-9.8584280294745e-07,14,-1.99275,0,0
4.3753350382758e-06,15,-1.99225,0,0
2.9494863724722e-06,16,-1.99175,0,0
3.3287011547145e-06,17,-1.99125,0,0
3.2278469461744e-06,18,-1.99075,0,0
3.254670161823e-06,19,-1.99025,0,0
3.2475357443218e-06,20,-1.98975,0,0
3.2494321544618e-06,21,-1.98925,0,0
3.2489290902049e-06,22,-1.98875,0,0
3.2490622743353e-06,23,-1.98825,0,0
3.2490269177288e-06,24,-1.98775,0,0
3.2490370358573e-06,25,-1.98725,0,0
3.2490337957825e-06,26,-1.98675,0,0
3.2490346484337e-06,27,-1.98625,0,0
3.2490345347469e-06,28,-1.98575,0,0
3.2490345915903e-06,29,-1.98525,0,0
3.2490345347469e-06,30,-1.98475,0,0
3.2490345347469e-06,31,-1.98425,0,0
3.2490345347469e-06,32,-1.98375,0,0
3.2490345347469e-06,33,-1.98325,0,0
3.2490344779035e-06,34,-1.98275,0,0
3.2490345347469e-06,35,-1.98225,0,0
3.2490345915903e-06,36,-1.98175,0,0
3.2490345347469e-06,37,-1.98125,0,0
3.2490345915903e-06,38,-1.98075,0,0
3.2490345347469e-06,39,-1.98025,0,0
3.2490344779035e-06,40,-1.97975,0,0
3.2490345347469e-06,41,-1.97925,0,0
3.2490345347469e-06,42,-1.97875,0,0
3.2490344779035e-06,43,-1.97825,0,0
3.2490345347469e-06,44,-1.97775,0,0
3.2490346484337e-06,45,-1.97725,0,0
3.2490345347469e-06,46,-1.97675,0,0
3.2490345347469e-06,47,-1.97625,0,0
3.2490345347469e-06,48,-1.97575,0,0
3.2490345347469e-06,49,-1.97525,0,0
3.2490344779035e-06,50,-1.97475,0,0
3.2490344779035e-06,51,-1.97425,0,0
3.2490345915903e-06,52,-1.97375,0,0
3.2490345915903e-06,53,-1.97325,0,0
3.2490345347469e-06,54,-1.97275,0,0
3.2490345915903e-06,55,-1.97225,0,0
3.2490344779035e-06,56,-1.97175,0,0
3.2490345347469e-06,57,-1.97125,0,0
3.2490345915903e-06,58,-1.97075,0,0
3.2490344779035e-06,59,-1.97025,0,0
3.2490345347469e-06,60,-1.96975,0,0
3.2490345915903e-06,61,-1.96925,0,0
3.2490345347469e-06,62,-1.96875,0,0
3.2490345347469e-06,63,-1.96825,0,0
3.2490344779035e-06,64,-1.96775,0,0
3.2490345915903e-06,65,-1.96725,0,0
3.2490344779035e-06,66,-1.96675,0,0
3.2490344779035e-06,67,-1.96625,0,0
3.2490345915903e-06,68,-1.96575,0,0
3.2490345347469e-06,69,-1.96525,0,0
3.2490345347469e-06,70,-1.96475,0,0
3.2490345915903e-06,71,-1.96425,0,0
3.2490344779035e-06,72,-1.96375,0,0
3.2490345347469e-06,73,-1.96325,0,0
3.2490345915903e-06,74,-1.96275,0,0
3.2490344779035e-06,75,-1.96225,0,0
3.2490345347469e-06,76,-1.96175,0,0
3.2490345347469e-06,77,-1.96125,0,0
3.2490345915903e-06,78,-1.96075,0,0
3.2490345915903e-06,79,-1.96025,0,0
3.2490344779035e-06,80,-1.95975,0,0
3.2490345915903e-06,81,-1.95925,0,0
3.2490345347469e-06,82,-1.95875,0,0
3.2490344779035e-06,83,-1.95825,0,0
3.2490345915903e-06,84,-1.95775,0,0
3.2490345347469e-06,85,-1.95725,0,0
3.2490345915903e-06,86,-1.95675,0,0
3.2490345915903e-06,87,-1.95625,0,0
3.2490345347469e-06,88,-1.95575,0,0
3.2490345347469e-06,89,-1.95525,0,0
3.2490345347469e-06,90,-1.95475,0,0
3.2490345347469e-06,91,-1.95425,0,0
3.2490345347469e-06,92,-1.95375,0,0
3.2490345347469e-06,93,-1.95325,0,0
3.2490345915903e-06,94,-1.95275,0,0
3.2490345347469e-06,95,-1.95225,0,0
3.2490345347469e-06,96,-1.95175,0,0
3.2490345915903e-06,97,-1.95125,0,0
3.2490345347469e-06,98,-1.95075,0,0
3.2490344779035e-06,99,-1.95025,0,0
3.2490345347469e-06,100,-1.94975,0,0
3.2490345915903e-06,101,-1.94925,0,0
3.2490345347469e-06,102,-1.94875,0,0
3.2490345347469e-06,103,-1.94825,0,0
3.2490345915903e-06,104,-1.94775,0,0
3.2490345347469e-06,105,-1.94725,0,0
3.2490345347469e-06,106,-1.94675,0,0
3.2490345347469e-06,107,-1.94625,0,0
3.2490345347469e-06,108,-1.94575,0,0
3.2490345347469e-06,109,-1.94525,0,0
3.2490345915903e-06,110,-1.94475,0,0
3.2490345347469e-06,111,-1.94425,0,0
3.2490344779035e-06,112,-1.94375,0,0
3.2490345915903e-06,113,-1.94325,0,0
3.2490345347469e-06,114,-1.94275,0,0
3.2490344779035e-06,115,-1.94225,0,0
3.2490345347469e-06,116,-1.94175,0,0
3.2490345915903e-06,117,-1.94125,0,0
3.2490344779035e-06,118,-1.94075,0,0
3.2490345347469e-06,119,-1.94025,0,0
3.2490345347469e-06,120,-1.93975,0,0
3.2490345347469e-06,121,-1.93925,0,0
3.2490345347469e-06,122,-1.93875,0,0
3.2490345347469e-06,123,-1.93825,0,0
3.2490345347469e-06,124,-1.93775,0,0
3.2490345347469e-06,125,-1.93725,0,0
3.2490344779035e-06,126,-1.93675,0,0
3.2490345915903e-06,127,-1.93625,0,0
3.2490345347469e-06,128,-1.93575,0,0
3.2490344779035e-06,129,-1.93525,0,0
3.2490345915903e-06,130,-1.93475,0,0
3.2490345347469e-06,131,-1.93425,0,0
3.2490345347469e-06,132,-1.93375,0,0
3.2490345915903e-06,133,-1.93325,0,0
3.2490344779035e-06,134,-1.93275,0,0
3.2490345347469e-06,135,-1.93225,0,0
3.2490345347469e-06,136,-1.93175,0,0
3.2490345347469e-06,137,-1.93125,0,0
3.2490345347469e-06,138,-1.93075,0,0
3.2490345347469e-06,139,-1.93025,0,0
3.2490345915903e-06,140,-1.92975,0,0
3.2490345347469e-06,141,-1.92925,0,0
3.2490344779035e-06,142,-1.92875,0,0
3.2490345915903e-06,143,-1.92825,0,0
3.2490345347469e-06,144,-1.92775,0,0
3.2490344779035e-06,145,-1.92725,0,0
3.2490345347469e-06,146,-1.92675,0,0
3.2490345347469e-06,147,-1.92625,0,0
3.2490345347469e-06,148,-1.92575,0,0
3.2490345347469e-06,149,-1.92525,0,0
3.2490345347469e-06,150,-1.92475,0,0
3.2490345347469e-06,151,-1.92425,0,0
3.2490345347469e-06,152,-1.92375,0,0
3.2490345347469e-06,153,-1.92325,0,0
3.2490345347469e-06,154,-1.92275,0,0
3.2490344779035e-06,155,-1.92225,0,0
3.2490346484337e-06,156,-1.92175,0,0
3.2490345347469e-06,157,-1.92125,0,0
3.2490344779035e-06,158,-1.92075,0,0
3.2490345347469e-06,159,-1.92025,0,0
3.2490345915903e-06,160,-1.91975,0,0
3.2490344779035e-06,161,-1.91925,0,0
3.2490345347469e-06,162,-1.91875,0,0
3.2490345915903e-06,163,-1.91825,0,0
3.2490345915903e-06,164,-1.91775,0,0
3.2490345347469e-06,165,-1.91725,0,0
3.2490345347469e-06,166,-1.91675,0,0
3.2490345347469e-06,167,-1.91625,0,0
3.2490345347469e-06,168,-1.91575,0,0
3.2490344779035e-06,169,-1.91525,0,0
3.2490345915903e-06,170,-1.91475,0,0
3.2490345347469e-06,171,-1.91425,0,0
3.2490345915903e-06,172,-1.91375,0,0
3.2490345915903e-06,173,-1.91325,0,0
3.2490344779035e-06,174,-1.91275,0,0
3.2490345347469e-06,175,-1.91225,0,0
3.2490345915903e-06,176,-1.91175,0,0
3.2490344779035e-06,177,-1.91125,0,0
3.2490345347469e-06,178,-1.91075,0,0
3.2490345915903e-06,179,-1.91025,0,0
3.2490345347469e-06,180,-1.90975,0,0
3.2490345915903e-06,181,-1.90925,0,0
3.2490344779035e-06,182,-1.90875,0,0
3.2490345915903e-06,183,-1.90825,0,0
3.2490345347469e-06,184,-1.90775,0,0
3.2490344779035e-06,185,-1.90725,0,0
3.2490345915903e-06,186,-1.90675,0,0
3.2490344779035e-06,187,-1.90625,0,0
3.2490345347469e-06,188,-1.90575,0,0
3.2490346484337e-06,189,-1.90525,0,0
3.2490344779035e-06,190,-1.90475,0,0
3.2490345347469e-06,191,-1.90425,0,0
3.2490345347469e-06,192,-1.90375,0,0
3.2490345347469e-06,193,-1.90325,0,0
3.2490345347469e-06,194,-1.90275,0,0
3.2490344779035e-06,195,-1.90225,0,0
3.2490345915903e-06,196,-1.90175,0,0
