id,rho_ODE,x,y,z
0,-4.8728922494306e-06,-1.99975,0,0
1,-4.8734631690443e-06,-1.99925,0,0
2,-4.8735115498836e-06,-1.99875,0,0
3,-4.8735154845046e-06,-1.99825,0,0
4,-4.8735149544844e-06,-1.99775,0,0
5,-4.8735153087565e-06,-1.99725,0,0
6,-4.8735153096169e-06,-1.99675,0,0
7,-4.8735158359597e-06,-1.99625,0,0
8,-4.8735151323143e-06,-1.99575,0,0
9,-4.8735156768062e-06,-1.99525,0,0
10,-4.8735152018126e-06,-1.99475,0,0
11,-4.8735149599267e-06,-1.99425,0,0
12,-4.8735155850416e-06,-1.99375,0,0
13,-4.8735154972866e-06,-1.99325,0,0
14,-4.8735152224418e-06,-1.99275,0,0
15,-4.8735153075653e-06,-1.99225,0,0
16,-4.8735153088386e-06,-1.99175,0,0
17,-4.873515052792e-06,-1.99125,0,0
18,-4.8735154507689e-06,-1.99075,0,0
19,-4.8735155360151e-06,-1.99025,0,0
20,-4.873514967586e-06,-1.98975,0,0
21,-4.8735157065491e-06,-1.98925,0,0
22,-4.873514967585e-06,-1.98875,0,0
23,-4.8735156497059e-06,-1.98825,0,0
24,-4.8735150528501e-06,-1.98775,0,0
25,-4.8735155075974e-06,-1.98725,0,0
26,-4.8735150244283e-06,-1.98675,0,0
27,-4.8735154791757e-06,-1.98625,0,0
28,-4.8735153086454e-06,-1.98575,0,0
29,-4.8735153939106e-06,-1.98525,0,0
30,-4.8735153939106e-06,-1.98475,0,0
31,-4.8735153939106e-06,-1.98425,0,0
32,-4.8735153086454e-06,-1.98375,0,0
33,-4.8735153939106e-06,-1.98325,0,0
34,-4.8735153086454e-06,-1.98275,0,0
35,-4.8735152233803e-06,-1.98225,0,0
36,-4.8735153939106e-06,-1.98175,0,0
37,-4.8735153086454e-06,-1.98125,0,0
38,-4.8735153939106e-06,-1.98075,0,0
39,-4.8735154791757e-06,-1.98025,0,0
40,-4.8735152233803e-06,-1.97975,0,0
41,-4.8735153086454e-06,-1.97925,0,0
42,-4.8735152233803e-06,-1.97875,0,0
43,-4.8735153086454e-06,-1.97825,0,0
44,-4.8735153939106e-06,-1.97775,0,0
45,-4.8735153086454e-06,-1.97725,0,0
46,-4.8735153939106e-06,-1.97675,0,0
47,-4.8735153939106e-06,-1.97625,0,0
48,-4.8735153086454e-06,-1.97575,0,0
49,-4.8735153086454e-06,-1.97525,0,0
50,-4.8735152233803e-06,-1.97475,0,0
51,-4.8735153086454e-06,-1.97425,0,0
52,-4.8735153939106e-06,-1.97375,0,0
53,-4.8735153086454e-06,-1.97325,0,0
54,-4.8735153086454e-06,-1.97275,0,0
55,-4.8735153939106e-06,-1.97225,0,0
56,-4.8735153086454e-06,-1.97175,0,0
57,-4.8735152233803e-06,-1.97125,0,0
58,-4.8735153939106e-06,-1.97075,0,0
59,-4.8735153086454e-06,-1.97025,0,0
60,-4.8735153086454e-06,-1.96975,0,0
61,-4.8735153939106e-06,-1.96925,0,0
62,-4.8735152233803e-06,-1.96875,0,0
63,-4.8735153939106e-06,-1.96825,0,0
64,-4.8735153939106e-06,-1.96775,0,0
65,-4.8735153086454e-06,-1.96725,0,0
66,-4.8735153939106e-06,-1.96675,0,0
67,-4.8735152233803e-06,-1.96625,0,0
68,-4.8735153939106e-06,-1.96575,0,0
69,-4.8735153939106e-06,-1.96525,0,0
70,-4.8735152233803e-06,-1.96475,0,0
71,-4.8735153086454e-06,-1.96425,0,0
72,-4.8735153086454e-06,-1.96375,0,0
73,-4.8735153939106e-06,-1.96325,0,0
74,-4.8735154791757e-06,-1.96275,0,0
75,-4.8735152233803e-06,-1.96225,0,0
76,-4.8735153939106e-06,-1.96175,0,0
77,-4.8735153086454e-06,-1.96125,0,0
78,-4.8735153086454e-06,-1.96075,0,0
79,-4.8735153086454e-06,-1.96025,0,0
80,-4.8735153086454e-06,-1.95975,0,0
81,-4.8735153939106e-06,-1.95925,0,0
82,-4.8735153939106e-06,-1.95875,0,0
83,-4.8735153939106e-06,-1.95825,0,0
84,-4.8735153939106e-06,-1.95775,0,0
85,-4.8735153086454e-06,-1.95725,0,0
86,-4.8735153086454e-06,-1.95675,0,0
87,-4.8735152233803e-06,-1.95625,0,0
88,-4.8735153939106e-06,-1.95575,0,0
89,-4.8735153939106e-06,-1.95525,0,0
90,-4.8735153939106e-06,-1.95475,0,0
91,-4.8735154791757e-06,-1.95425,0,0
92,-4.8735152233803e-06,-1.95375,0,0
93,-4.8735153086454e-06,-1.95325,0,0
94,-4.8735153086454e-06,-1.95275,0,0
95,-4.8735152233803e-06,-1.95225,0,0
96,-4.8735153939106e-06,-1.95175,0,0
97,-4.8735153086454e-06,-1.95125,0,0
98,-4.8735153939106e-06,-1.95075,0,0
99,-4.8735154791757e-06,-1.95025,0,0
100,-4.8735152233803e-06,-1.94975,0,0
101,-4.8735153086454e-06,-1.94925,0,0
102,-4.8735152233803e-06,-1.94875,0,0
103,-4.8735153086454e-06,-1.94825,0,0
104,-4.8735153939106e-06,-1.94775,0,0
105,-4.8735153086454e-06,-1.94725,0,0
106,-4.8735153939106e-06,-1.94675,0,0
107,-4.8735154791757e-06,-1.94625,0,0
108,-4.8735152233803e-06,-1.94575,0,0
109,-4.8735153086454e-06,-1.94525,0,0
110,-4.8735153086454e-06,-1.94475,0,0
111,-4.8735153086454e-06,-1.94425,0,0
112,-4.8735153939106e-06,-1.94375,0,0
113,-4.8735153086454e-06,-1.94325,0,0
114,-4.8735153086454e-06,-1.94275,0,0
115,-4.8735153086454e-06,-1.94225,0,0
116,-4.8735153939106e-06,-1.94175,0,0
117,-4.8735153939106e-06,-1.94125,0,0
118,-4.8735153086454e-06,-1.94075,0,0
119,-4.8735153086454e-06,-1.94025,0,0
120,-4.8735153086454e-06,-1.93975,0,0
121,-4.8735153939106e-06,-1.93925,0,0
122,-4.8735153086454e-06,-1.93875,0,0
123,-4.8735153086454e-06,-1.93825,0,0
124,-4.8735153939106e-06,-1.93775,0,0
125,-4.8735153086454e-06,-1.93725,0,0
126,-4.8735153939106e-06,-1.93675,0,0
127,-4.8735153086454e-06,-1.93625,0,0
128,-4.8735153086454e-06,-1.93575,0,0
129,-4.8735153939106e-06,-1.93525,0,0
130,-4.8735152233803e-06,-1.93475,0,0
131,-4.8735153086454e-06,-1.93425,0,0
