id,psi_e,x,y,z
0,0,-2,0,0
1,-0.32051644975613,-1.9995,0,0
2,-0.22387724843171,-1.999,0,0
3,-0.24869625594852,-1.9985,0,0
4,-0.24203458383859,-1.998,0,0
5,-0.24380197858457,-1.9975,0,0
6,-0.24333162148431,-1.997,0,0
7,-0.24345669722501,-1.9965,0,0
8,-0.24342343282805,-1.996,0,0
9,-0.24343228171592,-1.9955,0,0
10,-0.24342993033006,-1.995,0,0
11,-0.24343055775622,-1.9945,0,0
12,-0.24343039294333,-1.994,0,0
13,-0.24343043883296,-1.9935,0,0
14,-0.24343042868453,-1.993,0,0
15,-0.24343043343989,-1.9925,0,0
16,-0.24343043423146,-1.992,0,0
17,-0.24343043607723,-1.9915,0,0
18,-0.24343043764262,-1.991,0,0
19,-0.24343043928259,-1.9905,0,0
20,-0.24343044090272,-1.99,0,0
21,-0.24343044252813,-1.9895,0,0
22,-0.24343044415213,-1.989,0,0
23,-0.24343044577651,-1.9885,0,0
24,-0.24343044740079,-1.988,0,0
25,-0.2434304490251,-1.9875,0,0
26,-0.24343045064939,-1.987,0,0
27,-0.24343045227369,-1.9865,0,0
28,-0.24343045389799,-1.986,0,0
29,-0.24343045552229,-1.9855,0,0
30,-0.24343045714659,-1.985,0,0
31,-0.24343045877089,-1.9845,0,0
32,-0.24343046039519,-1.984,0,0
33,-0.24343046201949,-1.9835,0,0
34,-0.24343046364379,-1.983,0,0
35,-0.24343046526809,-1.9825,0,0
36,-0.24343046689239,-1.982,0,0
37,-0.24343046851669,-1.9815,0,0
38,-0.24343047014099,-1.981,0,0
39,-0.24343047176529,-1.9805,0,0
40,-0.24343047338959,-1.98,0,0
41,-0.24343047501389,-1.9795,0,0
42,-0.24343047663819,-1.979,0,0
43,-0.24343047826249,-1.9785,0,0
44,-0.24343047988679,-1.978,0,0
45,-0.24343048151108,-1.9775,0,0
46,-0.24343048313538,-1.977,0,0
47,-0.24343048475968,-1.9765,0,0
48,-0.24343048638398,-1.976,0,0
49,-0.24343048800828,-1.9755,0,0
50,-0.24343048963258,-1.975,0,0
51,-0.24343049125688,-1.9745,0,0
52,-0.24343049288118,-1.974,0,0
53,-0.24343049450548,-1.9735,0,0
54,-0.24343049612978,-1.973,0,0
55,-0.24343049775408,-1.9725,0,0
56,-0.24343049937838,-1.972,0,0
57,-0.24343050100268,-1.9715,0,0
58,-0.24343050262698,-1.971,0,0
59,-0.24343050425128,-1.9705,0,0
60,-0.24343050587558,-1.97,0,0
61,-0.24343050749988,-1.9695,0,0
62,-0.24343050912418,-1.969,0,0
63,-0.24343051074848,-1.9685,0,0
64,-0.24343051237278,-1.968,0,0
65,-0.24343051399707,-1.9675,0,0
66,-0.24343051562137,-1.967,0,0
67,-0.24343051724567,-1.9665,0,0
68,-0.24343051886997,-1.966,0,0
69,-0.24343052049427,-1.9655,0,0
70,-0.24343052211857,-1.965,0,0
71,-0.24343052374287,-1.9645,0,0
72,-0.24343052536717,-1.964,0,0
73,-0.24343052699147,-1.9635,0,0
74,-0.24343052861577,-1.963,0,0
75,-0.24343053024007,-1.9625,0,0
76,-0.24343053186437,-1.962,0,0
77,-0.24343053348867,-1.9615,0,0
78,-0.24343053511297,-1.961,0,0
79,-0.24343053673727,-1.9605,0,0
80,-0.24343053836157,-1.96,0,0
81,-0.24343053998587,-1.9595,0,0
82,-0.24343054161017,-1.959,0,0
83,-0.24343054323447,-1.9585,0,0
84,-0.24343054485876,-1.958,0,0
85,-0.24343054648306,-1.9575,0,0
86,-0.24343054810736,-1.957,0,0
87,-0.24343054973166,-1.9565,0,0
88,-0.24343055135596,-1.956,0,0
89,-0.24343055298026,-1.9555,0,0
90,-0.24343055460456,-1.955,0,0
91,-0.24343055622886,-1.9545,0,0
92,-0.24343055785316,-1.954,0,0
93,-0.24343055947746,-1.9535,0,0
94,-0.24343056110176,-1.953,0,0
95,-0.24343056272606,-1.9525,0,0
96,-0.24343056435036,-1.952,0,0
97,-0.24343056597466,-1.9515,0,0
98,-0.24343056759896,-1.951,0,0
99,-0.24343056922326,-1.9505,0,0
100,-0.24343057084756,-1.95,0,0
101,-0.24343057247186,-1.9495,0,0
102,-0.24343057409616,-1.949,0,0
103,-0.24343057572046,-1.9485,0,0
104,-0.24343057734475,-1.948,0,0
105,-0.24343057896905,-1.9475,0,0
106,-0.24343058059335,-1.947,0,0
107,-0.24343058221765,-1.9465,0,0
108,-0.24343058384195,-1.946,0,0
109,-0.24343058546625,-1.9455,0,0
110,-0.24343058709055,-1.945,0,0
111,-0.24343058871485,-1.9445,0,0
112,-0.24343059033915,-1.944,0,0
113,-0.24343059196345,-1.9435,0,0
114,-0.24343059358775,-1.943,0,0
115,-0.24343059521205,-1.9425,0,0
116,-0.24343059683635,-1.942,0,0
117,-0.24343059846065,-1.9415,0,0
118,-0.24343060008495,-1.941,0,0
119,-0.24343060170925,-1.9405,0,0
120,-0.24343060333355,-1.94,0,0
121,-0.24343060495785,-1.9395,0,0
122,-0.24343060658215,-1.939,0,0
123,-0.24343060820644,-1.9385,0,0
124,-0.24343060983074,-1.938,0,0
125,-0.24343061145504,-1.9375,0,0
126,-0.24343061307934,-1.937,0,0
127,-0.24343061470364,-1.9365,0,0
128,-0.24343061632794,-1.936,0,0
129,-0.24343061795224,-1.9355,0,0
130,-0.24343061957654,-1.935,0,0
131,-0.24343062120084,-1.9345,0,0
132,-0.24343062282514,-1.934,0,0
133,-0.24343062444944,-1.9335,0,0
134,-0.24343062607374,-1.933,0,0
135,-0.24343062769804,-1.9325,0,0
136,-0.24343062932234,-1.932,0,0
137,-0.24343063094664,-1.9315,0,0
138,-0.24343063257094,-1.931,0,0
139,-0.24343063419524,-1.9305,0,0
140,-0.24343063581954,-1.93,0,0
141,-0.24343063744384,-1.9295,0,0
142,-0.24343063906814,-1.929,0,0
143,-0.24343064069243,-1.9285,0,0
144,-0.24343064231673,-1.928,0,0
145,-0.24343064394103,-1.9275,0,0
146,-0.24343064556533,-1.927,0,0
147,-0.24343064718963,-1.9265,0,0
148,-0.24343064881393,-1.926,0,0
149,-0.24343065043823,-1.9255,0,0
150,-0.24343065206253,-1.925,0,0
151,-0.24343065368683,-1.9245,0,0
152,-0.24343065531113,-1.924,0,0
153,-0.24343065693543,-1.9235,0,0
154,-0.24343065855973,-1.923,0,0
155,-0.24343066018403,-1.9225,0,0
156,-0.24343066180833,-1.922,0,0
157,-0.24343066343263,-1.9215,0,0
158,-0.24343066505693,-1.921,0,0
159,-0.24343066668123,-1.9205,0,0
160,-0.24343066830553,-1.92,0,0
161,-0.24343066992983,-1.9195,0,0
162,-0.24343067155413,-1.919,0,0
163,-0.24343067317842,-1.9185,0,0
164,-0.24343067480272,-1.918,0,0
165,-0.24343067642702,-1.9175,0,0
166,-0.24343067805132,-1.917,0,0
167,-0.24343067967562,-1.9165,0,0
168,-0.24343068129992,-1.916,0,0
169,-0.24343068292422,-1.9155,0,0
170,-0.24343068454852,-1.915,0,0
171,-0.24343068617282,-1.9145,0,0
172,-0.24343068779712,-1.914,0,0
173,-0.24343068942142,-1.9135,0,0
174,-0.24343069104572,-1.913,0,0
175,-0.24343069267002,-1.9125,0,0
176,-0.24343069429432,-1.912,0,0
177,-0.24343069591862,-1.9115,0,0
178,-0.24343069754292,-1.911,0,0
179,-0.24343069916722,-1.9105,0,0
180,-0.24343070079152,-1.91,0,0
181,-0.24343070241582,-1.9095,0,0
182,-0.24343070404011,-1.909,0,0
183,-0.24343070566441,-1.9085,0,0
184,-0.24343070728871,-1.908,0,0
185,-0.24343070891301,-1.9075,0,0
186,-0.24343071053731,-1.907,0,0
187,-0.24343071216161,-1.9065,0,0
188,-0.24343071378591,-1.906,0,0
189,-0.24343071541021,-1.9055,0,0
190,-0.24343071703451,-1.905,0,0
191,-0.24343071865881,-1.9045,0,0
192,-0.24343072028311,-1.904,0,0
193,-0.24343072190741,-1.9035,0,0
194,-0.24343072353171,-1.903,0,0
195,-0.24343072515601,-1.9025,0,0
196,-0.24343072678031,-1.902,0,0
197,-0.24343072840461,-1.9015,0,0
198,-0.24343073002891,-1.901,0,0
199,-0.24343073165321,-1.9005,0,0
200,-0.24343073327751,-1.9,0,0
201,-0.2434307349018,-1.8995,0,0
202,-0.2434307365261,-1.899,0,0
203,-0.2434307381504,-1.8985,0,0
204,-0.2434307397747,-1.898,0,0
205,-0.243430741399,-1.8975,0,0
206,-0.2434307430233,-1.897,0,0
207,-0.2434307446476,-1.8965,0,0
208,-0.2434307462719,-1.896,0,0
209,-0.2434307478962,-1.8955,0,0
210,-0.2434307495205,-1.895,0,0
211,-0.2434307511448,-1.8945,0,0
212,-0.2434307527691,-1.894,0,0
213,-0.2434307543934,-1.8935,0,0
214,-0.2434307560177,-1.893,0,0
215,-0.243430757642,-1.8925,0,0
216,-0.2434307592663,-1.892,0,0
217,-0.2434307608906,-1.8915,0,0
218,-0.2434307625149,-1.891,0,0
219,-0.2434307641392,-1.8905,0,0
220,-0.2434307657635,-1.89,0,0
221,-0.24343076738779,-1.8895,0,0
222,-0.24343076901209,-1.889,0,0
223,-0.24343077063639,-1.8885,0,0
224,-0.24343077226069,-1.888,0,0
225,-0.24343077388499,-1.8875,0,0
