ci_ODE,id,x,y,z
3.0423843308459e-07,0,-1.99975,0,0
9.1271577005609e-07,1,-1.99925,0,0
1.5211926370651e-06,2,-1.99875,0,0
2.1296695051238e-06,3,-1.99825,0,0
2.7381463746521e-06,4,-1.99775,0,0
3.34662324607e-06,5,-1.99725,0,0
3.9551005903897e-06,6,-1.99675,0,0
4.5635774668463e-06,7,-1.99625,0,0
5.1720548170445e-06,8,-1.99575,0,0
5.780531229627e-06,9,-1.99525,0,0
6.389008116791e-06,10,-1.99475,0,0
6.9974859495486e-06,11,-1.99425,0,0
7.6059619047654e-06,12,-1.99375,0,0
8.2144397476005e-06,13,-1.99325,0,0
8.822916184327e-06,14,-1.99275,0,0
9.4313940389191e-06,15,-1.99225,0,0
1.0039870488243e-05,16,-1.99175,0,0
1.0648346944494e-05,17,-1.99125,0,0
1.1256824349279e-05,18,-1.99075,0,0
1.1865301291239e-05,19,-1.99025,0,0
1.2473779182572e-05,20,-1.98975,0,0
1.3082254729551e-05,21,-1.98925,0,0
1.3690732167927e-05,22,-1.98875,0,0
1.4299209145158e-05,23,-1.98825,0,0
1.490768660285e-05,24,-1.98775,0,0
1.5516163129644e-05,25,-1.98725,0,0
1.6124640137737e-05,26,-1.98675,0,0
1.6733117627551e-05,27,-1.98625,0,0
1.7341593246541e-05,28,-1.98575,0,0
1.7950071230461e-05,29,-1.98525,0,0
1.8558547344398e-05,30,-1.98475,0,0
1.9167025353512e-05,31,-1.98425,0,0
1.9775501493482e-05,32,-1.98375,0,0
2.0383978588284e-05,33,-1.98325,0,0
2.0992456167745e-05,34,-1.98275,0,0
2.1600931879323e-05,35,-1.98225,0,0
2.2209409488176e-05,36,-1.98175,0,0
2.2817886641764e-05,37,-1.98125,0,0
2.3426363340505e-05,38,-1.98075,0,0
2.4034840526004e-05,39,-1.98025,0,0
2.4643316786904e-05,40,-1.97975,0,0
2.5251793535402e-05,41,-1.97925,0,0
2.5860270771919e-05,42,-1.97875,0,0
2.6468748026281e-05,43,-1.97825,0,0
2.7077224357723e-05,44,-1.97775,0,0
2.7685702119629e-05,45,-1.97725,0,0
2.8294177547677e-05,46,-1.97675,0,0
2.890265487762e-05,47,-1.97625,0,0
2.9511131756915e-05,48,-1.97575,0,0
3.0119609127168e-05,49,-1.97525,0,0
3.0728085577021e-05,50,-1.97475,0,0
3.1336562518671e-05,51,-1.97425,0,0
3.1945039011353e-05,52,-1.97375,0,0
3.2553515996672e-05,53,-1.97325,0,0
3.3161993004456e-05,54,-1.97275,0,0
3.3770469564531e-05,55,-1.97225,0,0
3.4378946618502e-05,56,-1.97175,0,0
3.4987423696198e-05,57,-1.97125,0,0
3.5595899856853e-05,58,-1.97075,0,0
3.6204376983256e-05,59,-1.97025,0,0
3.6812853664051e-05,60,-1.96975,0,0
3.7421329899657e-05,61,-1.96925,0,0
3.8029807102271e-05,62,-1.96875,0,0
3.8638283389944e-05,63,-1.96825,0,0
3.9246761116058e-05,64,-1.96775,0,0
3.9855236516292e-05,65,-1.96725,0,0
4.0463713826399e-05,66,-1.96675,0,0
4.1072190693837e-05,67,-1.96625,0,0
4.1680667589618e-05,68,-1.96575,0,0
4.2289143102383e-05,69,-1.96525,0,0
4.2897620526702e-05,70,-1.96475,0,0
4.3506097510031e-05,71,-1.96425,0,0
4.4114573582197e-05,72,-1.96375,0,0
4.4723051096583e-05,73,-1.96325,0,0
4.5331526288868e-05,74,-1.96275,0,0
4.5940003394805e-05,75,-1.96225,0,0
4.6548480061853e-05,76,-1.96175,0,0
4.7156956761022e-05,77,-1.96125,0,0
4.7765433492732e-05,78,-1.96075,0,0
4.8373909786812e-05,79,-1.96025,0,0
4.8982386584866e-05,80,-1.95975,0,0
4.9590863887315e-05,81,-1.95925,0,0
5.0199339812206e-05,82,-1.95875,0,0
5.0807815771739e-05,83,-1.95825,0,0
5.1416292707518e-05,84,-1.95775,0,0
5.2024768737593e-05,85,-1.95725,0,0
5.2633246215347e-05,86,-1.95675,0,0
5.3241721847051e-05,87,-1.95625,0,0
5.3850198456681e-05,88,-1.95575,0,0
5.4458675103471e-05,89,-1.95525,0,0
5.506715131725e-05,90,-1.95475,0,0
5.5675627098436e-05,91,-1.95425,0,0
5.628410432982e-05,92,-1.95375,0,0
5.6892581129452e-05,93,-1.95325,0,0
5.7501057027159e-05,94,-1.95275,0,0
5.8109533435138e-05,95,-1.95225,0,0
5.8718009883217e-05,96,-1.95175,0,0
5.9326485901223e-05,97,-1.95125,0,0
5.9934962430761e-05,98,-1.95075,0,0
6.0543439001659e-05,99,-1.95025,0,0
6.1151914673151e-05,100,-1.94975,0,0
6.1760391328027e-05,101,-1.94925,0,0
6.236886755493e-05,102,-1.94875,0,0
6.2977344295465e-05,103,-1.94825,0,0
6.358581966768e-05,104,-1.94775,0,0
6.4194296495553e-05,105,-1.94725,0,0
6.4802772426538e-05,106,-1.94675,0,0
6.5411248872835e-05,107,-1.94625,0,0
6.6019724893678e-05,108,-1.94575,0,0
6.6628200960079e-05,109,-1.94525,0,0
6.7236677072458e-05,110,-1.94475,0,0
6.7845153231236e-05,111,-1.94425,0,0
6.8453629907425e-05,112,-1.94375,0,0
6.9062104748479e-05,113,-1.94325,0,0
6.9670581990157e-05,114,-1.94275,0,0
7.0279057868133e-05,115,-1.94225,0,0
7.0887533794606e-05,116,-1.94175,0,0
7.1496010240591e-05,117,-1.94125,0,0
7.2104485324133e-05,118,-1.94075,0,0
7.2712961869212e-05,119,-1.94025,0,0
7.3321437523282e-05,120,-1.93975,0,0
7.3929913698543e-05,121,-1.93925,0,0
7.453838992482e-05,122,-1.93875,0,0
7.5146865731941e-05,123,-1.93825,0,0
7.5755342061512e-05,124,-1.93775,0,0
7.6363817031579e-05,125,-1.93725,0,0
7.6972293466123e-05,126,-1.93675,0,0
7.7580769953784e-05,127,-1.93625,0,0
7.8189245083201e-05,128,-1.93575,0,0
7.879772120776e-05,129,-1.93525,0,0
7.9406196916103e-05,130,-1.93475,0,0
8.0014672208648e-05,131,-1.93425,0,0
8.0623148497596e-05,132,-1.93375,0,0
8.1231624371585e-05,133,-1.93325,0,0
8.1840099831038e-05,134,-1.93275,0,0
8.2448575817559e-05,135,-1.93225,0,0
8.3057050919789e-05,136,-1.93175,0,0
8.3665527491114e-05,137,-1.93125,0,0
8.42740022378e-05,138,-1.93075,0,0
8.4882478454422e-05,139,-1.93025,0,0
8.5490954729619e-05,140,-1.92975,0,0
8.6099428710844e-05,141,-1.92925,0,0
8.670790510445e-05,142,-1.92875,0,0
8.7316381087298e-05,143,-1.92825,0,0
8.792485571862e-05,144,-1.92775,0,0
8.853333229299e-05,145,-1.92725,0,0
8.914180704608e-05,146,-1.92675,0,0
8.9750283272465e-05,147,-1.92625,0,0
9.035875767841e-05,148,-1.92575,0,0
9.0967234029083e-05,149,-1.92525,0,0
9.1575709030749e-05,150,-1.92475,0,0
9.2184184095608e-05,151,-1.92425,0,0
9.2792660165268e-05,152,-1.92375,0,0
9.3401134887181e-05,153,-1.92325,0,0
9.4009610614735e-05,154,-1.92275,0,0
9.4618086407162e-05,155,-1.92225,0,0
9.5226560853101e-05,156,-1.92175,0,0
9.5835036776533e-05,157,-1.92125,0,0
9.6443512295505e-05,158,-1.92075,0,0
9.7051986469249e-05,159,-1.92025,0,0
9.7660462121746e-05,160,-1.91975,0,0
9.8268936900449e-05,161,-1.91925,0,0
9.8877412688151e-05,162,-1.91875,0,0
9.9485887602898e-05,163,-1.91825,0,0
0.0001000943625863,164,-1.91775,0,0
0.00010070283763877,165,-1.91725,0,0
0.00010131131276073,166,-1.91675,0,0
0.00010191978795261,167,-1.91625,0,0
0.00010252826274422,168,-1.91575,0,0
0.00010313673854777,169,-1.91525,0,0
0.00010374521254012,170,-1.91475,0,0
0.00010435368801584,171,-1.91425,0,0
0.00010496216262238,172,-1.91375,0,0
0.00010557063730136,173,-1.91325,0,0
0.00010617911299437,174,-1.91275,0,0
0.00010678758781947,175,-1.91225,0,0
0.00010739606177707,176,-1.91175,0,0
0.00010800453722056,177,-1.91125,0,0
0.0001086130117974,178,-1.91075,0,0
0.00010922148644918,179,-1.91025,0,0
0.00010982996117634,180,-1.90975,0,0
0.00011043843644988,181,-1.90925,0,0
0.00011104691085844,182,-1.90875,0,0
0.00011165538581423,183,-1.90825,0,0
0.00011226386037647,184,-1.90775,0,0
