id,rho_ODE,x,y,z
0,-2.4268965972271e-05,-1.99975,0,0
1,-2.426875176558e-05,-1.99925,0,0
2,-2.426881152928e-05,-1.99875,0,0
3,-2.4268795665527e-05,-1.99825,0,0
4,-2.426879989792e-05,-1.99775,0,0
5,-2.4268798925253e-05,-1.99725,0,0
6,-2.4268799398472e-05,-1.99675,0,0
7,-2.4268799073458e-05,-1.99625,0,0
8,-2.4268798818986e-05,-1.99575,0,0
9,-2.4268798824225e-05,-1.99525,0,0
10,-2.4268799074772e-05,-1.99475,0,0
11,-2.4268798886336e-05,-1.99425,0,0
12,-2.4268799015439e-05,-1.99375,0,0
13,-2.4268799233931e-05,-1.99325,0,0
14,-2.4268798676503e-05,-1.99275,0,0
15,-2.4268799063667e-05,-1.99225,0,0
16,-2.4268799038618e-05,-1.99175,0,0
17,-2.4268798838806e-05,-1.99125,0,0
18,-2.4268798910092e-05,-1.99075,0,0
19,-2.4268799151615e-05,-1.99025,0,0
20,-2.4268799023733e-05,-1.98975,0,0
21,-2.4268798725301e-05,-1.98925,0,0
22,-2.4268798881622e-05,-1.98875,0,0
23,-2.4268799108995e-05,-1.98825,0,0
24,-2.4268799009519e-05,-1.98775,0,0
25,-2.4268798753724e-05,-1.98725,0,0
26,-2.4268799137417e-05,-1.98675,0,0
27,-2.4268798938465e-05,-1.98625,0,0
28,-2.4268798767935e-05,-1.98575,0,0
29,-2.4268798981097e-05,-1.98525,0,0
30,-2.4268798938465e-05,-1.98475,0,0
31,-2.4268798981097e-05,-1.98425,0,0
32,-2.4268798895832e-05,-1.98375,0,0
33,-2.4268798938465e-05,-1.98325,0,0
34,-2.4268798895832e-05,-1.98275,0,0
35,-2.4268798981097e-05,-1.98225,0,0
36,-2.4268798938465e-05,-1.98175,0,0
37,-2.4268798938465e-05,-1.98125,0,0
38,-2.4268798895832e-05,-1.98075,0,0
39,-2.4268798981097e-05,-1.98025,0,0
40,-2.4268798938465e-05,-1.97975,0,0
41,-2.4268798895832e-05,-1.97925,0,0
42,-2.4268798938465e-05,-1.97875,0,0
43,-2.4268798981097e-05,-1.97825,0,0
44,-2.4268798938465e-05,-1.97775,0,0
45,-2.4268798895832e-05,-1.97725,0,0
46,-2.4268798895832e-05,-1.97675,0,0
47,-2.4268798981097e-05,-1.97625,0,0
48,-2.4268798981097e-05,-1.97575,0,0
49,-2.4268798895832e-05,-1.97525,0,0
50,-2.4268798938465e-05,-1.97475,0,0
51,-2.4268798938465e-05,-1.97425,0,0
52,-2.4268798981097e-05,-1.97375,0,0
