time,cp_0,cp_1,psi_0,psi_1,psi_e_0,psi_e_1,psi_e_left,psi_e_right,rho_e_0,rho_e_1,rho_e_left,rho_e_right
0,0,0,0,0,0,0,0,0.52429458360777,0,0,1.7914679094416,1.4999999999699
1,0.90342155087508,0.098794856563938,-0.20458627434113,-0.16111663427267,-0.20458627434113,-0.16111663427257,0,-0.15894655105202,1.5154619045815,1.4966998595279,1.8628419068001,1.5000000000301
2,0.8703560068041,0.10375512014456,-0.19714855704933,-0.037308010462266,-0.19714855704933,-0.037308010462178,0,-0.035397016321645,1.5152422141978,1.4970876891875,1.8484099644545,1.5000000000301
3,0.84044412398776,0.10869124252724,-0.19050246080565,0.05829782541661,-0.19050246080565,0.058297825416686,0,0.059958709094091,1.515028671075,1.4974621739298,1.8356105742016,1.5000000000301
4,0.81276392593665,0.11366261919029,-0.18443002440455,0.13374732005542,-0.18443002440455,0.13374732005548,0,0.13516371887673,1.5148177711546,1.4978283259628,1.8239923893302,1.5000000000301
5,0.786893045164,0.11867491468749,-0.17882790721542,0.1936017264508,-0.17882790721542,0.19360172645086,0,0.19477880676885,1.5146084082624,1.498186827209,1.8133360620082,1.5000000000301
6,0.7625377973794,0.12373113694746,-0.17362425160044,0.2410101634402,-0.17362425160044,0.24101016344024,0,0.24195279398847,1.5143998418066,1.4985381181544,1.8034886241604,1.5000000000301
7,0.73948462023879,0.12883418159828,-0.16876730240413,0.27823847628433,-0.16876730240413,0.27823847628436,0,0.27895125606219,1.514191561829,1.4988825980116,1.7943393863449,1.5000000000301
8,0.71757259520912,0.13398697057619,-0.16421843843825,0.30697698660556,-0.16421843843825,0.30697698660558,0,0.30746426420533,1.5139832118776,1.4992206374839,1.7858053179527,1.5000000000301
9,0.69667658244937,0.13919246385895,-0.15994796780275,0.32852528493369,-0.15994796780275,0.3285252849337,0,0.32879117589921,1.5137745389978,1.4995525816665,1.7778222369744,1.5000000000301
10,0.67669653269038,0.14445366453838,-0.15593245109097,0.34390786788144,-0.15593245109097,0.34390786788144,0,0.34395627059532,1.5135653609334,1.4998787522108,1.7703392102251,1.5000000000301
11,0.65755051031159,0.14977362361635,-0.15215293521578,0.35394937924218,-0.15215293521578,0.35394937924217,0,0.35378398950644,1.5133555443291,1.5001994492449,1.7633148636813,1.5000000000301
12,0.63917000912017,0.15515544487438,-0.14859378321434,0.35932528143855,-0.14859378321434,0.35932528143854,0,0.35894960588018,1.5131449900091,1.5005149531023,1.7567149303195,1.5000000000301
13,0.62149672392852,0.16060228984296,-0.14524186016307,0.36059707581629,-0.14524186016307,0.36059707581626,0,0.36001444423343,1.5129336228687,1.5008255258801,1.7505105424408,1.5000000000301
14,0.60448027103056,0.16611738288282,-0.14208596598114,0.35823745232066,-0.14208596598114,0.35823745232063,0,0.35745102907226,1.5127213848207,1.5011314128473,1.7446770356301,1.5000000000301
15,0.58807654240493,0.17170401638679,-0.1391164307093,0.35264869059763,-0.1391164307093,0.35264869059758,0,0.351661485128,1.5125082297992,1.5014328437175,1.7391930901017,1.5000000000301
16,0.57224649282652,0.17736555611489,-0.13632481425379,0.34417642156296,-0.13632481425379,0.34417642156291,0,0.34299129814292,1.5122941201694,1.5017300338028,1.7340400912232,1.5000000000301
17,0.55695522888803,0.18310544667228,-0.13370368989145,0.33312010674857,-0.13370368989145,0.33312010674851,0,0.33173979350621,1.5120790241155,1.5020231850598,1.7292016624841,1.5000000000301
18,0.54217131266342,0.18892721714193,-0.13124646266332,0.31974117792058,-0.13124646266332,0.31974117792051,0,0.31816827522718,1.5118629137149,1.5023124870396,1.7246632781108,1.5000000000301
19,0.52786622068946,0.19483448688323,-0.12894725053676,0.30426942069796,-0.12894725053676,0.30426942069788,0,0.30250640896786,1.5116457635037,1.5025981177507,1.7204119994447,1.5000000000301
20,0.51401391720997,0.20083097150791,-0.12680077036667,0.2869080877228,-0.12680077036667,0.28690808772271,0,0.2849573346802,1.5114275493949,1.5028802444451,1.7164362301765,1.5000000000301
21,0.50059051275893,0.20692048904491,-0.1248022673077,0.26783800752695,-0.1248022673077,0.26783800752685,0,0.26570177498756,1.5112082478533,1.5031590243327,1.7127255554926,1.5000000000301
22,0.48757398741769,0.2131069663056,-0.12294745306046,0.24722094485799,-0.12294745306046,0.24722094485788,0,0.24490139506876,1.5109878352594,1.5034346052328,1.7092706028421,1.5000000000301
23,0.47494396372954,0.21939444546047,-0.12123245354763,0.22520237495669,-0.12123245354763,0.22520237495658,0,0.22270157653293,1.5107662874115,1.5037071261673,1.7060629242056,1.5000000000301
24,0.46268151823576,0.22578709083842,-0.11965375895974,0.20191380093279,-0.11965375895974,0.20191380093267,0,0.19923373442834,1.5105435791318,1.503976717902,1.7030948867664,1.5000000000301
25,0.45076902340532,0.23228919595892,-0.11820818620438,0.17747469685583,-0.11820818620438,0.1774746968557,0,0.174617259999,1.5103196839478,1.5042435034384,1.7003595885387,1.5000000000301
26,0.43919001375112,0.23890519080712,-0.11689287341962,0.15199412812152,-0.11689287341962,0.15199412812138,0,0.14896114074635,1.5100945738318,1.5045075984636,1.6978508318378,1.5000000000301
27,0.42792907139707,0.24563964936079,-0.11570521838088,0.12557219267043,-0.11570521838088,0.12557219267029,0,0.12236540137086,1.509868218981,1.5047691117578,1.6955630029176,1.5000000000301
28,0.41697172745675,0.25249729737675,-0.11464289753537,0.098301189900736,-0.11464289753537,0.098301189900585,0,0.094922272432574,1.5096405876287,1.5050281455663,1.6934910918976,1.5000000000301
29,0.40630437636513,0.25948302044362,-0.11370381406534,0.070266703521708,-0.11370381406534,0.070266703521549,0,0.066717272975867,1.5094116458778,1.5052847959361,1.6916305929092,1.5000000000301
30,0.39591420094407,0.26660187230481,-0.11288611578944,0.041548485365166,-0.11288611578944,0.041548485364999,0,0.037830094133496,1.5091813575482,1.5055391530216,1.6899775251602,1.5000000000301
31,0.38578910641689,0.27385908345435,-0.11218815096287,0.012221294660945,-0.11218815096287,0.012221294660771,0,0.0083354382148419,1.5089496840354,1.5057913013592,1.6885283493211,1.5000000000301
32,0.37591766195356,0.2812600700044,-0.11160846595737,-0.017644392716309,-0.11160846595737,-0.017644392716491,0,-0.0216962722158,1.5087165841732,1.5060413201162,1.6872799566042,1.5000000000301
33,0.36628904860097,0.28881044282003,-0.11114581733979,-0.047981762258183,-0.11114581733979,-0.047981762258373,0,-0.052198272501115,1.5084820140998,1.5062892833111,1.6862296832374,1.5000000000301
34,0.35689301266204,0.29651601691225,-0.11079913778121,-0.078727052745938,-0.11079913778121,-0.078727052746135,0,-0.083106847948353,1.5082459271217,1.5065352600112,1.6853752473614,1.5000000000301
35,0.34771982375813,0.30438282107437,-0.1105675366297,-0.10981903211844,-0.1105675366297,-0.10981903211865,0,-0.11436080981553,1.5080082735758,1.5067793145055,1.6847147457646,1.5000000000301
