cm,id,x,y,z
1241.1016949153,4000,0,0,0
1241.1016949153,4001,0.00025,0,0
1241.1016949153,4002,0.0005,0,0
1241.1016949153,4003,0.00075,0,0
1241.1016949153,4004,0.001,0,0
1241.1016949153,4005,0.00125,0,0
1241.1016949153,4006,0.0015,0,0
1241.1016949153,4007,0.00175,0,0
1241.1016949153,4008,0.002,0,0
1241.1016949153,4009,0.00225,0,0
1241.1016949153,4010,0.0025,0,0
1241.1016949153,4011,0.00275,0,0
1241.1016949153,4012,0.003,0,0
1241.1016949153,4013,0.00325,0,0
1241.1016949153,4014,0.0035,0,0
1241.1016949153,4015,0.00375,0,0
1241.1016949153,4016,0.004,0,0
1241.1016949153,4017,0.00425,0,0
1241.1016949153,4018,0.0045,0,0
1241.1016949153,4019,0.00475,0,0
1241.1016949153,4020,0.005,0,0
1241.1016949153,4021,0.00525,0,0
1241.1016949153,4022,0.0055,0,0
1241.1016949153,4023,0.00575,0,0
1241.1016949153,4024,0.006,0,0
1241.1016949153,4025,0.00625,0,0
1241.1016949153,4026,0.0065,0,0
1241.1016949153,4027,0.00675,0,0
1241.1016949153,4028,0.007,0,0
1241.1016949153,4029,0.00725,0,0
1241.1016949153,4030,0.0075,0,0
1241.1016949153,4031,0.00775,0,0
1241.1016949153,4032,0.008,0,0
1241.1016949153,4033,0.00825,0,0
1241.1016949153,4034,0.0085,0,0
1241.1016949153,4035,0.00875,0,0
1241.1016949153,4036,0.009,0,0
1241.1016949153,4037,0.00925,0,0
1241.1016949153,4038,0.0095,0,0
1241.1016949153,4039,0.00975,0,0
1241.1016949153,4040,0.01,0,0
1241.1016949153,4041,0.01025,0,0
1241.1016949153,4042,0.0105,0,0
1241.1016949153,4043,0.01075,0,0
1241.1016949153,4044,0.011,0,0
1241.1016949153,4045,0.01125,0,0
1241.1016949153,4046,0.0115,0,0
1241.1016949153,4047,0.01175,0,0
1241.1016949153,4048,0.012,0,0
1241.1016949153,4049,0.01225,0,0
1241.1016949153,4050,0.0125,0,0
1241.1016949153,4051,0.01275,0,0
1241.1016949153,4052,0.013,0,0
1241.1016949153,4053,0.01325,0,0
1241.1016949153,4054,0.0135,0,0
1241.1016949153,4055,0.01375,0,0
1241.1016949153,4056,0.014,0,0
1241.1016949153,4057,0.01425,0,0
1241.1016949153,4058,0.0145,0,0
1241.1016949153,4059,0.01475,0,0
1241.1016949153,4060,0.015,0,0
1241.1016949153,4061,0.01525,0,0
1241.1016949153,4062,0.0155,0,0
1241.1016949153,4063,0.01575,0,0
1241.1016949153,4064,0.016,0,0
1241.1016949153,4065,0.01625,0,0
1241.1016949153,4066,0.0165,0,0
1241.1016949153,4067,0.01675,0,0
1241.1016949153,4068,0.017,0,0
1241.1016949153,4069,0.01725,0,0
1241.1016949153,4070,0.0175,0,0
1241.1016949153,4071,0.01775,0,0
1241.1016949153,4072,0.018,0,0
1241.1016949153,4073,0.01825,0,0
1241.1016949153,4074,0.0185,0,0
1241.1016949153,4075,0.01875,0,0
1241.1016949153,4076,0.019,0,0
1241.1016949153,4077,0.01925,0,0
1241.1016949153,4078,0.0195,0,0
1241.1016949153,4079,0.01975,0,0
1241.1016949153,4080,0.02,0,0
1241.1016949153,4081,0.02025,0,0
1241.1016949153,4082,0.0205,0,0
1241.1016949153,4083,0.02075,0,0
1241.1016949153,4084,0.021,0,0
1241.1016949153,4085,0.02125,0,0
1241.1016949153,4086,0.0215,0,0
1241.1016949153,4087,0.02175,0,0
1241.1016949153,4088,0.022,0,0
1241.1016949153,4089,0.02225,0,0
1241.1016949153,4090,0.0225,0,0
1241.1016949153,4091,0.02275,0,0
1241.1016949153,4092,0.023,0,0
1241.1016949153,4093,0.02325,0,0
1241.1016949153,4094,0.0235,0,0
1241.1016949153,4095,0.02375,0,0
1241.1016949153,4096,0.024,0,0
1241.1016949153,4097,0.02425,0,0
1241.1016949153,4098,0.0245,0,0
1241.1016949153,4099,0.02475,0,0
1241.1016949153,4100,0.025,0,0
1241.1016949153,4101,0.02525,0,0
1241.1016949153,4102,0.0255,0,0
1241.1016949153,4103,0.02575,0,0
1241.1016949153,4104,0.026,0,0
1241.1016949153,4105,0.02625,0,0
1241.1016949153,4106,0.0265,0,0
1241.1016949153,4107,0.02675,0,0
1241.1016949153,4108,0.027,0,0
1241.1016949153,4109,0.02725,0,0
1241.1016949153,4110,0.0275,0,0
1241.1016949153,4111,0.02775,0,0
1241.1016949153,4112,0.028,0,0
1241.1016949153,4113,0.02825,0,0
1241.1016949153,4114,0.0285,0,0
1241.1016949153,4115,0.02875,0,0
1241.1016949153,4116,0.029,0,0
1241.1016949153,4117,0.02925,0,0
1241.1016949153,4118,0.0295,0,0
1241.1016949153,4119,0.02975,0,0
1241.1016949153,4120,0.03,0,0
1241.1016949153,4121,0.03025,0,0
1241.1016949153,4122,0.0305,0,0
1241.1016949153,4123,0.03075,0,0
1241.1016949153,4124,0.031,0,0
1241.1016949153,4125,0.03125,0,0
1241.1016949153,4126,0.0315,0,0
1241.1016949153,4127,0.03175,0,0
1241.1016949153,4128,0.032,0,0
1241.1016949153,4129,0.03225,0,0
1241.1016949153,4130,0.0325,0,0
1241.1016949153,4131,0.03275,0,0
1241.1016949153,4132,0.033,0,0
1241.1016949153,4133,0.03325,0,0
1241.1016949153,4134,0.0335,0,0
1241.1016949153,4135,0.03375,0,0
1241.1016949153,4136,0.034,0,0
1241.1016949153,4137,0.03425,0,0
1241.1016949153,4138,0.0345,0,0
1241.1016949153,4139,0.03475,0,0
1241.1016949153,4140,0.035,0,0
1241.1016949153,4141,0.03525,0,0
1241.1016949153,4142,0.0355,0,0
1241.1016949153,4143,0.03575,0,0
1241.1016949153,4144,0.036,0,0
1241.1016949153,4145,0.03625,0,0
1241.1016949153,4146,0.0365,0,0
1241.1016949153,4147,0.03675,0,0
1241.1016949153,4148,0.037,0,0
1241.1016949153,4149,0.03725,0,0
1241.1016949153,4150,0.0375,0,0
1241.1016949153,4151,0.03775,0,0
1241.1016949153,4152,0.038,0,0
1241.1016949153,4153,0.03825,0,0
1241.1016949153,4154,0.0385,0,0
1241.1016949153,4155,0.03875,0,0
1241.1016949153,4156,0.039,0,0
1241.1016949153,4157,0.03925,0,0
1241.1016949153,4158,0.0395,0,0
1241.1016949153,4159,0.03975,0,0
1241.1016949153,4160,0.04,0,0
1241.1016949153,4161,0.04025,0,0
1241.1016949153,4162,0.0405,0,0
1241.1016949153,4163,0.04075,0,0
1241.1016949153,4164,0.041,0,0
1241.1016949153,4165,0.04125,0,0
1241.1016949153,4166,0.0415,0,0
1241.1016949153,4167,0.04175,0,0
1241.1016949153,4168,0.042,0,0
1241.1016949153,4169,0.04225,0,0
1241.1016949153,4170,0.0425,0,0
1241.1016949153,4171,0.04275,0,0
1241.1016949153,4172,0.043,0,0
1241.1016949153,4173,0.04325,0,0
1241.1016949153,4174,0.0435,0,0
1241.1016949153,4175,0.04375,0,0
1241.1016949153,4176,0.044,0,0
1241.1016949153,4177,0.04425,0,0
1241.1016949153,4178,0.0445,0,0
1241.1016949153,4179,0.04475,0,0
1241.1016949153,4180,0.045,0,0
1241.1016949153,4181,0.04525,0,0
1241.1016949153,4182,0.0455,0,0
1241.1016949153,4183,0.04575,0,0
1241.1016949153,4184,0.046,0,0
1241.1016949153,4185,0.04625,0,0
1241.1016949153,4186,0.0465,0,0
1241.1016949153,4187,0.04675,0,0
1241.1016949153,4188,0.047,0,0
1241.1016949153,4189,0.04725,0,0
1241.1016949153,4190,0.0475,0,0
1241.1016949153,4191,0.04775,0,0
1241.1016949153,4192,0.048,0,0
1241.1016949153,4193,0.04825,0,0
1241.1016949153,4194,0.0485,0,0
1241.1016949153,4195,0.04875,0,0
1241.1016949153,4196,0.049,0,0
1241.1016949153,4197,0.04925,0,0
1241.1016949153,4198,0.0495,0,0
1241.1016949153,4199,0.04975,0,0
1241.1016949153,4200,0.05,0,0
1241.1016949153,4201,0.05025,0,0
1241.1016949153,4202,0.0505,0,0
1241.1016949153,4203,0.05075,0,0
1241.1016949153,4204,0.051,0,0
1241.1016949153,4205,0.05125,0,0
1241.1016949153,4206,0.0515,0,0
1241.1016949153,4207,0.05175,0,0
1241.1016949153,4208,0.052,0,0
1241.1016949153,4209,0.05225,0,0
1241.1016949153,4210,0.0525,0,0
1241.1016949153,4211,0.05275,0,0
1241.1016949153,4212,0.053,0,0
1241.1016949153,4213,0.05325,0,0
1241.1016949153,4214,0.0535,0,0
1241.1016949153,4215,0.05375,0,0
1241.1016949153,4216,0.054,0,0
1241.1016949153,4217,0.05425,0,0
1241.1016949153,4218,0.0545,0,0
1241.1016949153,4219,0.05475,0,0
1241.1016949153,4220,0.055,0,0
1241.1016949153,4221,0.05525,0,0
1241.1016949153,4222,0.0555,0,0
1241.1016949153,4223,0.05575,0,0
1241.1016949153,4224,0.056,0,0
1241.1016949153,4225,0.05625,0,0
1241.1016949153,4226,0.0565,0,0
1241.1016949153,4227,0.05675,0,0
1241.1016949153,4228,0.057,0,0
1241.1016949153,4229,0.05725,0,0
1241.1016949153,4230,0.0575,0,0
1241.1016949153,4231,0.05775,0,0
1241.1016949153,4232,0.058,0,0
1241.1016949153,4233,0.05825,0,0
1241.1016949153,4234,0.0585,0,0
1241.1016949153,4235,0.05875,0,0
1241.1016949153,4236,0.059,0,0
1241.1016949153,4237,0.05925,0,0
1241.1016949153,4238,0.0595,0,0
1241.1016949153,4239,0.05975,0,0
