id,psi_e,x,y,z
0,0,-2,0,0
1,-0.24563659931574,-1.9995,0,0
2,-0.17381655042174,-1.999,0,0
3,-0.19242568823322,-1.9985,0,0
4,-0.18744231154844,-1.998,0,0
5,-0.18876526511892,-1.9975,0,0
6,-0.18841325358393,-1.997,0,0
7,-0.18850687208014,-1.9965,0,0
8,-0.18848198287653,-1.996,0,0
9,-0.18848861256739,-1.9955,0,0
10,-0.18848685960547,-1.995,0,0
11,-0.18848733608297,-1.9945,0,0
12,-0.18848721962301,-1.994,0,0
13,-0.18848726085967,-1.9935,0,0
14,-0.18848726015561,-1.993,0,0
15,-0.18848727060603,-1.9925,0,0
16,-0.18848727808983,-1.992,0,0
17,-0.18848728636262,-1.9915,0,0
18,-0.18848729442558,-1.991,0,0
19,-0.18848730254434,-1.9905,0,0
20,-0.18848731064826,-1.99,0,0
21,-0.18848731875613,-1.9895,0,0
22,-0.18848732686295,-1.989,0,0
23,-0.18848733497004,-1.9885,0,0
24,-0.18848734307706,-1.988,0,0
25,-0.18848735118411,-1.9875,0,0
26,-0.18848735929114,-1.987,0,0
27,-0.18848736739818,-1.9865,0,0
28,-0.18848737550522,-1.986,0,0
29,-0.18848738361226,-1.9855,0,0
30,-0.1884873917193,-1.985,0,0
31,-0.18848739982634,-1.9845,0,0
32,-0.18848740793337,-1.984,0,0
33,-0.18848741604041,-1.9835,0,0
34,-0.18848742414745,-1.983,0,0
35,-0.18848743225449,-1.9825,0,0
36,-0.18848744036153,-1.982,0,0
37,-0.18848744846856,-1.9815,0,0
38,-0.1884874565756,-1.981,0,0
39,-0.18848746468264,-1.9805,0,0
40,-0.18848747278968,-1.98,0,0
41,-0.18848748089672,-1.9795,0,0
42,-0.18848748900376,-1.979,0,0
43,-0.18848749711079,-1.9785,0,0
44,-0.18848750521783,-1.978,0,0
45,-0.18848751332487,-1.9775,0,0
46,-0.18848752143191,-1.977,0,0
47,-0.18848752953895,-1.9765,0,0
48,-0.18848753764598,-1.976,0,0
49,-0.18848754575302,-1.9755,0,0
50,-0.18848755386006,-1.975,0,0
51,-0.1884875619671,-1.9745,0,0
52,-0.18848757007414,-1.974,0,0
53,-0.18848757818118,-1.9735,0,0
54,-0.18848758628821,-1.973,0,0
55,-0.18848759439525,-1.9725,0,0
56,-0.18848760250229,-1.972,0,0
57,-0.18848761060933,-1.9715,0,0
58,-0.18848761871637,-1.971,0,0
59,-0.18848762682341,-1.9705,0,0
60,-0.18848763493044,-1.97,0,0
61,-0.18848764303748,-1.9695,0,0
62,-0.18848765114452,-1.969,0,0
63,-0.18848765925156,-1.9685,0,0
64,-0.1884876673586,-1.968,0,0
65,-0.18848767546563,-1.9675,0,0
66,-0.18848768357267,-1.967,0,0
67,-0.18848769167971,-1.9665,0,0
68,-0.18848769978675,-1.966,0,0
69,-0.18848770789379,-1.9655,0,0
70,-0.18848771600083,-1.965,0,0
71,-0.18848772410786,-1.9645,0,0
72,-0.1884877322149,-1.964,0,0
73,-0.18848774032194,-1.9635,0,0
74,-0.18848774842898,-1.963,0,0
75,-0.18848775653602,-1.9625,0,0
76,-0.18848776464305,-1.962,0,0
77,-0.18848777275009,-1.9615,0,0
78,-0.18848778085713,-1.961,0,0
79,-0.18848778896417,-1.9605,0,0
80,-0.18848779707121,-1.96,0,0
81,-0.18848780517825,-1.9595,0,0
82,-0.18848781328528,-1.959,0,0
83,-0.18848782139232,-1.9585,0,0
84,-0.18848782949936,-1.958,0,0
85,-0.1884878376064,-1.9575,0,0
86,-0.18848784571344,-1.957,0,0
87,-0.18848785382047,-1.9565,0,0
88,-0.18848786192751,-1.956,0,0
89,-0.18848787003455,-1.9555,0,0
90,-0.18848787814159,-1.955,0,0
91,-0.18848788624863,-1.9545,0,0
92,-0.18848789435567,-1.954,0,0
93,-0.1884879024627,-1.9535,0,0
94,-0.18848791056974,-1.953,0,0
95,-0.18848791867678,-1.9525,0,0
96,-0.18848792678382,-1.952,0,0
97,-0.18848793489086,-1.9515,0,0
98,-0.18848794299789,-1.951,0,0
99,-0.18848795110493,-1.9505,0,0
100,-0.18848795921197,-1.95,0,0
101,-0.18848796731901,-1.9495,0,0
102,-0.18848797542605,-1.949,0,0
103,-0.18848798353309,-1.9485,0,0
104,-0.18848799164012,-1.948,0,0
105,-0.18848799974716,-1.9475,0,0
106,-0.1884880078542,-1.947,0,0
107,-0.18848801596124,-1.9465,0,0
108,-0.18848802406828,-1.946,0,0
109,-0.18848803217531,-1.9455,0,0
110,-0.18848804028235,-1.945,0,0
111,-0.18848804838939,-1.9445,0,0
112,-0.18848805649643,-1.944,0,0
113,-0.18848806460347,-1.9435,0,0
114,-0.18848807271051,-1.943,0,0
115,-0.18848808081754,-1.9425,0,0
116,-0.18848808892458,-1.942,0,0
117,-0.18848809703162,-1.9415,0,0
118,-0.18848810513866,-1.941,0,0
119,-0.1884881132457,-1.9405,0,0
120,-0.18848812135274,-1.94,0,0
121,-0.18848812945977,-1.9395,0,0
122,-0.18848813756681,-1.939,0,0
123,-0.18848814567385,-1.9385,0,0
124,-0.18848815378089,-1.938,0,0
125,-0.18848816188793,-1.9375,0,0
