id,psi_e,x,y,z
0,0,-2,0,0
1,-0.040708601678384,-1.9996,0,0
2,-0.029762614939404,-1.9992,0,0
3,-0.032649923831629,-1.9988,0,0
4,-0.031884410838552,-1.9984,0,0
5,-0.032087087455923,-1.998,0,0
6,-0.032033397391717,-1.9976,0,0
7,-0.03204760843824,-1.9972,0,0
8,-0.032043836492759,-1.9968,0,0
9,-0.032044827267043,-1.9964,0,0
10,-0.032044556661196,-1.996,0,0
11,-0.032044620125369,-1.9956,0,0
12,-0.032044595112852,-1.9952,0,0
13,-0.032044593532923,-1.9948,0,0
14,-0.032044585746996,-1.9944,0,0
15,-0.032044579604696,-1.994,0,0
16,-0.032044573027089,-1.9936,0,0
17,-0.032044566564771,-1.9932,0,0
18,-0.032044560071919,-1.9928,0,0
19,-0.032044553587154,-1.9924,0,0
20,-0.032044547100247,-1.992,0,0
21,-0.032044540613908,-1.9916,0,0
22,-0.032044534127418,-1.9912,0,0
23,-0.032044527640968,-1.9908,0,0
24,-0.032044521154508,-1.9904,0,0
25,-0.03204451466805,-1.99,0,0
26,-0.032044508181592,-1.9896,0,0
27,-0.032044501695133,-1.9892,0,0
28,-0.032044495208675,-1.9888,0,0
29,-0.032044488722217,-1.9884,0,0
30,-0.032044482235759,-1.988,0,0
31,-0.0320444757493,-1.9876,0,0
32,-0.032044469262842,-1.9872,0,0
33,-0.032044462776384,-1.9868,0,0
34,-0.032044456289926,-1.9864,0,0
35,-0.032044449803467,-1.986,0,0
36,-0.032044443317009,-1.9856,0,0
37,-0.032044436830551,-1.9852,0,0
38,-0.032044430344093,-1.9848,0,0
39,-0.032044423857634,-1.9844,0,0
40,-0.032044417371176,-1.984,0,0
41,-0.032044410884718,-1.9836,0,0
42,-0.03204440439826,-1.9832,0,0
43,-0.032044397911801,-1.9828,0,0
44,-0.032044391425343,-1.9824,0,0
45,-0.032044384938885,-1.982,0,0
46,-0.032044378452427,-1.9816,0,0
47,-0.032044371965968,-1.9812,0,0
48,-0.03204436547951,-1.9808,0,0
49,-0.032044358993052,-1.9804,0,0
50,-0.032044352506593,-1.98,0,0
51,-0.032044346020135,-1.9796,0,0
52,-0.032044339533677,-1.9792,0,0
53,-0.032044333047219,-1.9788,0,0
54,-0.03204432656076,-1.9784,0,0
55,-0.032044320074302,-1.978,0,0
56,-0.032044313587844,-1.9776,0,0
