id,psi_e,x,y,z
0,0,-2,0,0
1,-0.037917356831947,-1.9996,0,0
2,-0.027732568747944,-1.9992,0,0
3,-0.030419858423643,-1.9988,0,0
4,-0.029707445099675,-1.9984,0,0
5,-0.029896082625721,-1.998,0,0
6,-0.029846127687969,-1.9976,0,0
7,-0.02985936595225,-1.9972,0,0
8,-0.029855868054443,-1.9968,0,0
9,-0.029856802657558,-1.9964,0,0
10,-0.029856563337102,-1.996,0,0
11,-0.029856634924243,-1.9956,0,0
12,-0.029856624169138,-1.9952,0,0
13,-0.029856635221947,-1.9948,0,0
14,-0.029856640499043,-1.9944,0,0
15,-0.029856647305808,-1.994,0,0
16,-0.029856653707447,-1.9936,0,0
17,-0.029856660216382,-1.9932,0,0
18,-0.0298566666969,-1.9928,0,0
19,-0.029856673184944,-1.9924,0,0
20,-0.029856679670995,-1.992,0,0
21,-0.029856686157574,-1.9916,0,0
22,-0.029856692644013,-1.9912,0,0
23,-0.029856699130489,-1.9908,0,0
24,-0.029856705616955,-1.9904,0,0
25,-0.029856712103424,-1.99,0,0
26,-0.029856718589892,-1.9896,0,0
27,-0.02985672507636,-1.9892,0,0
28,-0.029856731562829,-1.9888,0,0
29,-0.029856738049297,-1.9884,0,0
30,-0.029856744535765,-1.988,0,0
31,-0.029856751022233,-1.9876,0,0
32,-0.029856757508702,-1.9872,0,0
33,-0.02985676399517,-1.9868,0,0
34,-0.029856770481638,-1.9864,0,0
35,-0.029856776968106,-1.986,0,0
36,-0.029856783454575,-1.9856,0,0
37,-0.029856789941043,-1.9852,0,0
38,-0.029856796427511,-1.9848,0,0
39,-0.029856802913979,-1.9844,0,0
40,-0.029856809400448,-1.984,0,0
41,-0.029856815886916,-1.9836,0,0
42,-0.029856822373384,-1.9832,0,0
43,-0.029856828859853,-1.9828,0,0
44,-0.029856835346321,-1.9824,0,0
45,-0.029856841832789,-1.982,0,0
46,-0.029856848319257,-1.9816,0,0
47,-0.029856854805726,-1.9812,0,0
48,-0.029856861292194,-1.9808,0,0
49,-0.029856867778662,-1.9804,0,0
50,-0.02985687426513,-1.98,0,0
51,-0.029856880751599,-1.9796,0,0
52,-0.029856887238067,-1.9792,0,0
53,-0.029856893724535,-1.9788,0,0
54,-0.029856900211003,-1.9784,0,0
55,-0.029856906697472,-1.978,0,0
56,-0.02985691318394,-1.9776,0,0
57,-0.029856919670408,-1.9772,0,0
58,-0.029856926156877,-1.9768,0,0
59,-0.029856932643345,-1.9764,0,0
60,-0.029856939129813,-1.976,0,0
61,-0.029856945616281,-1.9756,0,0
62,-0.02985695210275,-1.9752,0,0
63,-0.029856958589218,-1.9748,0,0
64,-0.029856965075686,-1.9744,0,0
