time,cp_0,cp_1,psi_0,psi_1,psi_e_0,psi_e_1,psi_e_left,psi_e_right,rho_e_0,rho_e_1,rho_e_left,rho_e_right
0,0,0,0,0,0,0,0,0,0,0,1.5,1.5
1,0.31178331498249,0.3379929353181,-0.10974583371467,-0.14395164621241,-0.10974583371467,-0.14395164621274,0,-0.15116607902081,1.5096617356088,1.5109098766035,1.6852899325326,1.4999999999699
2,0.31992277506158,0.32926120744977,-0.1093063792162,-0.070045903713758,-0.1093063792162,-0.070045903714075,0,-0.076988066149625,1.510053943935,1.5104985462161,1.6849850693119,1.4999999999699
3,0.32826079504906,0.32075681346298,-0.10899258391561,0.0035437702342371,-0.10899258391561,0.0035437702339324,0,-0.0031303292165286,1.5104513488072,1.5100936822693,1.6848990912715,1.4999999999699
4,0.33678192600327,0.3124385643971,-0.10878758233259,0.077036733452401,-0.10878758233259,0.077036733452109,0,0.070627824349551,1.510853279454,1.5096932644523,1.6850027064322,1.4999999999699
5,0.34549428968875,0.30429795198901,-0.10869092904081,0.15050153294256,-0.10869092904081,0.15050153294227,0,0.14435525999674,1.5112602122679,1.5092968085952,1.6852957291292,1.4999999999699
6,0.35440518092143,0.29632789166247,-0.10870233493088,0.22399714101576,-0.10870233493088,0.22399714101549,0,0.21811122079912,1.5116725927063,1.508903903023,1.6857782756694,1.4999999999699
7,0.36352211405498,0.28852164257006,-0.1088216386169,0.29758232180154,-0.1088216386169,0.29758232180128,0,0.29195472844417,1.5120908866909,1.5085141564378,1.6864507738883,1.4999999999699
8,0.37285287255861,0.28087274594402,-0.10904878233588,0.37131623152934,-0.10904878233588,0.3713162315291,0,0.36594518613328,1.5125155840884,1.508127193934,1.6873139269836,1.4999999999699
9,0.38240551825876,0.2733750060176,-0.10938383889466,0.44525858995917,-0.10938383889466,0.44525858995894,0,0.44014255126021,1.5129472002231,1.5077426550883,1.6883687623525,1.4999999999699
10,0.3921883982441,0.26602247383801,-0.10982696539718,0.51946987615706,-0.10982696539718,0.51946987615684,0,0.51460753231815,1.5133862771802,1.5073601922292,1.689616556272,1.4999999999699
11,0.40221015075607,0.25880943221843,-0.11037844434278,0.59401139074459,-0.11037844434278,0.59401139074438,0,0.58940165222256,1.5138333849015,1.5069794687983,1.6910589073657,1.4999999999699
12,0.41247970986162,0.25173038165988,-0.11103862886553,0.66894535419875,-0.11103862886553,0.66894535419855,0,0.66458734763481,1.5142891219822,1.5066001577895,1.6926976471307,1.4999999999699
13,0.42300630858599,0.24478002715099,-0.11180797641177,0.74433483869692,-0.11180797641177,0.74433483869673,0,0.74022790178766,1.514754116045,1.5062219402572,1.6945349009619,1.4999999999699
14,0.43379948010931,0.2379532657663,-0.11268701839682,0.8202436626961,-0.11268701839682,0.82024366269592,0,0.81638734000801,1.5152290235357,1.5058445038823,1.6965730399436,1.4999999999699
15,0.44486905657075,0.23124517499224,-0.11367637686635,0.89673610777441,-0.11367637686635,0.89673610777424,0,0.89313014747144,1.5157145287396,1.5054675415879,1.6988147123839,1.4999999999699
16,0.45622516491095,0.22465100171711,-0.11477674836421,0.973876500317,-0.11477674836421,0.97387650031685,0,0.97052085177706,1.516211341766,1.5050907501935,1.7012628186856,1.4999999999699
17,0.46787821908381,0.21816615182756,-0.1159888977407,1.0517285688614,-0.1159888977407,1.0517285688612,0,1.048623381164,1.5167201951868,1.5047138290989,1.7039205020379,1.4999999999699
18,0.47983890783719,0.21178618035965,-0.11731364129106,1.1303545401127,-0.11731364129106,1.1303545401126,0,1.1275001613868,1.5172418389364,1.5043364789872,1.7067911191473,1.4999999999699
19,0.49211817707562,0.20550678215724,-0.11875184605783,1.2098138761114,-0.11875184605783,1.2098138761113,0,1.207210853738,1.5177770329968,1.5039584005379,1.709878236461,1.4999999999699
20,0.50472720563963,0.19932378299435,-0.12030443599506,1.2901615763448,-0.12030443599506,1.2901615763447,0,1.2878106580176,1.5183265372876,1.503579293139,1.7131856354615,1.4999999999699
21,0.51767737308632,0.19323313112229,-0.12197236637464,1.3714459814902,-0.12197236637464,1.3714459814901,0,1.3693481171414,1.5188910980743,1.5031988535891,1.716717259452,1.4999999999699
22,0.53098021770511,0.18723088920502,-0.12375661379412,1.4537059121924,-0.12375661379412,1.4537059121923,0,1.4518622568011,1.5194714300927,1.5028167747773,1.7204771822231,1.4999999999699
23,0.54464738269239,0.18131322660959,-0.12565819867559,1.536966990555,-0.12565819867559,1.5369669905549,0,1.5353789078614,1.5200681934789,1.502432744331,1.7244696272553,1.4999999999699
24,0.55869054783204,0.1754764120205,-0.12767812185714,1.6212371137692,-0.12767812185714,1.6212371137692,0,1.6199061809252,1.5206819645098,1.5020464432191,1.7286988303371,1.4999999999699
25,0.57312134348125,0.16971680634972,-0.12981740631394,1.7065007339846,-0.12981740631394,1.7065007339846,0,1.7054287471816,1.5213131991183,1.5016575442982,1.7331690760476,1.4999999999699
26,0.58795124284682,0.16403085591565,-0.13207705365508,1.7927119866638,-0.13207705365508,1.7927119866637,0,1.7919009677869,1.521962188198,1.5012657107879,1.7378845757031,1.4999999999699
27,0.60319142757367,0.15841508586638,-0.13445803007618,1.8797864327594,-0.13445803007618,1.8797864327594,0,1.8792386371273,1.5226290038986,1.5008705946605,1.7428493846103,1.4999999999699
28,0.61885262045048,0.15286609382446,-0.13696127089753,1.9675913658296,-0.13696127089753,1.9675913658296,0,1.9673092910893,1.5233134365109,1.5004718349294,1.7480673395079,1.4999999999699
29,0.63494487761519,0.14738054373166,-0.13958763263107,2.0559348014842,-0.13958763263107,2.0559348014842,0,2.0559211977452,1.5240149222298,1.5000690558164,1.7535418905586,1.4999999999699
30,0.65147733091804,0.14195515987396,-0.1423378916937,2.1445532630849,-0.1423378916937,2.1445532630849,0,2.1448111443878,1.5247324631611,1.4996618647797,1.759276003259,1.4999999999699
31,0.66845786945605,0.13658672106814,-0.14521268526938,2.2330989235291,-0.14521268526938,2.2330989235292,0,2.2336315807611,1.5254645424871,1.4992498503786,1.7652719479779,1.4999999999699
32,0.68589274773816,0.13127205499299,-0.14821242330365,2.3211268549482,-0.14821242330365,2.3211268549483,0,2.3219378703347,1.5262090397623,1.4988325799499,1.7715310314725,1.4999999999699
33,0.70378610754403,0.12600803264922,-0.15133725443925,2.4080834891567,-0.15133725443925,2.4080834891568,0,2.4091767524791,1.5269631538473,1.4984095970653,1.7780534263398,1.4999999999699
34,0.72213940214159,0.12079156293354,-0.15458694004917,2.4932980742161,-0.15458694004917,2.4932980742161,0,2.4946778009274,1.527723343786,1.497980418739,1.7848378481958,1.4999999999699
35,0.74095071782089,0.11561958731393,-0.1579606512654,2.5759791897424,-0.1579606512654,2.5759791897425,0,2.57764994118,1.5284853006118,1.4975445323438,1.7918811175504,1.4999999999699
