cp,id,x,y,z
0.68589274773816,4000,0,0,0
0.039349017708058,4001,0.00025,0,0
0.1637200390567,4002,0.0005,0,0
0.14328190371668,4003,0.00075,0,0
0.1470235320884,4004,0.001,0,0
0.14634590401154,4005,0.00125,0,0
0.14646888470778,4006,0.0015,0,0
0.14644657371949,4007,0.00175,0,0
0.14645062162571,4008,0.002,0,0
0.14644988721893,4009,0.00225,0,0
0.14645002046177,4010,0.0025,0,0
0.14644999628764,4011,0.00275,0,0
0.14645000067353,4012,0.003,0,0
0.1464499998778,4013,0.00325,0,0
0.14645000002217,4014,0.0035,0,0
0.14644999999598,4015,0.00375,0,0
0.14645000000073,4016,0.004,0,0
0.14644999999987,4017,0.00425,0,0
0.14645000000002,4018,0.0045,0,0
0.14645,4019,0.00475,0,0
0.14645,4020,0.005,0,0
0.14645,4021,0.00525,0,0
0.14645,4022,0.0055,0,0
0.14645,4023,0.00575,0,0
0.14645,4024,0.006,0,0
0.14645,4025,0.00625,0,0
0.14645,4026,0.0065,0,0
0.14645,4027,0.00675,0,0
0.14645,4028,0.007,0,0
0.14645,4029,0.00725,0,0
0.14645,4030,0.0075,0,0
0.14645,4031,0.00775,0,0
0.14645,4032,0.008,0,0
0.14645,4033,0.00825,0,0
0.14645,4034,0.0085,0,0
0.14645,4035,0.00875,0,0
0.14645,4036,0.009,0,0
0.14645,4037,0.00925,0,0
0.14645,4038,0.0095,0,0
0.14645,4039,0.00975,0,0
0.14645,4040,0.01,0,0
0.14645,4041,0.01025,0,0
0.14645,4042,0.0105,0,0
0.14645,4043,0.01075,0,0
0.14645,4044,0.011,0,0
0.14645,4045,0.01125,0,0
0.14645,4046,0.0115,0,0
0.14645,4047,0.01175,0,0
0.14645,4048,0.012,0,0
0.14645,4049,0.01225,0,0
0.14645,4050,0.0125,0,0
0.14645,4051,0.01275,0,0
0.14645,4052,0.013,0,0
0.14645,4053,0.01325,0,0
0.14645,4054,0.0135,0,0
0.14645,4055,0.01375,0,0
0.14645,4056,0.014,0,0
0.14645,4057,0.01425,0,0
0.14645,4058,0.0145,0,0
0.14645,4059,0.01475,0,0
0.14645,4060,0.015,0,0
0.14645,4061,0.01525,0,0
0.14645,4062,0.0155,0,0
0.14645,4063,0.01575,0,0
0.14645,4064,0.016,0,0
0.14645,4065,0.01625,0,0
0.14645,4066,0.0165,0,0
0.14645,4067,0.01675,0,0
0.14645,4068,0.017,0,0
0.14645,4069,0.01725,0,0
0.14645,4070,0.0175,0,0
0.14645,4071,0.01775,0,0
0.14645,4072,0.018,0,0
0.14645,4073,0.01825,0,0
0.14645,4074,0.0185,0,0
0.14645,4075,0.01875,0,0
0.14645,4076,0.019,0,0
0.14645,4077,0.01925,0,0
0.14645,4078,0.0195,0,0
0.14645,4079,0.01975,0,0
0.14645,4080,0.02,0,0
0.14645,4081,0.02025,0,0
0.14645,4082,0.0205,0,0
0.14645,4083,0.02075,0,0
0.14645,4084,0.021,0,0
0.14645,4085,0.02125,0,0
0.14645,4086,0.0215,0,0
0.14645,4087,0.02175,0,0
0.14645,4088,0.022,0,0
0.14645,4089,0.02225,0,0
0.14645,4090,0.0225,0,0
0.14645,4091,0.02275,0,0
0.14645,4092,0.023,0,0
0.14645,4093,0.02325,0,0
0.14645,4094,0.0235,0,0
0.14645,4095,0.02375,0,0
0.14645,4096,0.024,0,0
0.14645,4097,0.02425,0,0
0.14645,4098,0.0245,0,0
0.14645,4099,0.02475,0,0
0.14645,4100,0.025,0,0
0.14645,4101,0.02525,0,0
0.14645,4102,0.0255,0,0
0.14645,4103,0.02575,0,0
0.14645,4104,0.026,0,0
0.14645,4105,0.02625,0,0
0.14645,4106,0.0265,0,0
0.14645,4107,0.02675,0,0
0.14645,4108,0.027,0,0
0.14645,4109,0.02725,0,0
0.14645,4110,0.0275,0,0
0.14645,4111,0.02775,0,0
0.14645,4112,0.028,0,0
0.14645,4113,0.02825,0,0
0.14645,4114,0.0285,0,0
0.14645,4115,0.02875,0,0
0.14645,4116,0.029,0,0
0.14645,4117,0.02925,0,0
0.14645,4118,0.0295,0,0
0.14645,4119,0.02975,0,0
0.14645,4120,0.03,0,0
0.14645,4121,0.03025,0,0
0.14645,4122,0.0305,0,0
0.14645,4123,0.03075,0,0
0.14645,4124,0.031,0,0
0.14645,4125,0.03125,0,0
0.14645,4126,0.0315,0,0
0.14645,4127,0.03175,0,0
0.14645,4128,0.032,0,0
0.14645,4129,0.03225,0,0
0.14645,4130,0.0325,0,0
0.14645,4131,0.03275,0,0
0.14645,4132,0.033,0,0
0.14645,4133,0.03325,0,0
0.14645,4134,0.0335,0,0
0.14645,4135,0.03375,0,0
0.14645,4136,0.034,0,0
0.14645,4137,0.03425,0,0
0.14645,4138,0.0345,0,0
0.14645,4139,0.03475,0,0
0.14645,4140,0.035,0,0
0.14645,4141,0.03525,0,0
0.14645,4142,0.0355,0,0
0.14645,4143,0.03575,0,0
0.14645,4144,0.036,0,0
0.14645,4145,0.03625,0,0
0.14645,4146,0.0365,0,0
0.14645,4147,0.03675,0,0
0.14645,4148,0.037,0,0
0.14645,4149,0.03725,0,0
0.14645,4150,0.0375,0,0
0.14645,4151,0.03775,0,0
0.14645,4152,0.038,0,0
0.14645,4153,0.03825,0,0
0.14645,4154,0.0385,0,0
0.14645,4155,0.03875,0,0
0.14645,4156,0.039,0,0
0.14645,4157,0.03925,0,0
0.14645,4158,0.0395,0,0
0.14645,4159,0.03975,0,0
0.14645,4160,0.04,0,0
0.14645,4161,0.04025,0,0
0.14645,4162,0.0405,0,0
0.14645,4163,0.04075,0,0
0.14645,4164,0.041,0,0
0.14645,4165,0.04125,0,0
