id,psi_e,x,y,z
0,0,-2,0,0
1,-0.17959342893607,-1.9995,0,0
2,-0.12844915233055,-1.999,0,0
3,-0.14180002662752,-1.9985,0,0
4,-0.13823170639887,-1.998,0,0
5,-0.13917947538987,-1.9975,0,0
6,-0.13892731020132,-1.997,0,0
7,-0.13899435911891,-1.9965,0,0
8,-0.13897651620369,-1.996,0,0
9,-0.13898125137856,-1.9955,0,0
10,-0.13897998175365,-1.995,0,0
11,-0.13898030915666,-1.9945,0,0
12,-0.13898021181711,-1.994,0,0
13,-0.13898022744134,-1.9935,0,0
14,-0.13898021302193,-1.993,0,0
15,-0.13898020659287,-1.9925,0,0
16,-0.13898019803871,-1.992,0,0
17,-0.13898019004974,-1.9915,0,0
18,-0.13898018191046,-1.991,0,0
19,-0.13898017381115,-1.9905,0,0
20,-0.13898016570121,-1.99,0,0
21,-0.1389801575941,-1.9895,0,0
22,-0.13898014948623,-1.989,0,0
23,-0.13898014137857,-1.9885,0,0
24,-0.13898013327085,-1.988,0,0
25,-0.13898012516314,-1.9875,0,0
26,-0.13898011705544,-1.987,0,0
27,-0.13898010894773,-1.9865,0,0
28,-0.13898010084002,-1.986,0,0
29,-0.13898009273231,-1.9855,0,0
30,-0.13898008462461,-1.985,0,0
31,-0.1389800765169,-1.9845,0,0
32,-0.13898006840919,-1.984,0,0
33,-0.13898006030148,-1.9835,0,0
34,-0.13898005219378,-1.983,0,0
35,-0.13898004408607,-1.9825,0,0
36,-0.13898003597836,-1.982,0,0
37,-0.13898002787066,-1.9815,0,0
38,-0.13898001976295,-1.981,0,0
39,-0.13898001165524,-1.9805,0,0
40,-0.13898000354753,-1.98,0,0
41,-0.13897999543983,-1.9795,0,0
42,-0.13897998733212,-1.979,0,0
43,-0.13897997922441,-1.9785,0,0
44,-0.13897997111671,-1.978,0,0
45,-0.138979963009,-1.9775,0,0
46,-0.13897995490129,-1.977,0,0
47,-0.13897994679358,-1.9765,0,0
48,-0.13897993868588,-1.976,0,0
49,-0.13897993057817,-1.9755,0,0
50,-0.13897992247046,-1.975,0,0
51,-0.13897991436276,-1.9745,0,0
52,-0.13897990625505,-1.974,0,0
53,-0.13897989814734,-1.9735,0,0
54,-0.13897989003963,-1.973,0,0
55,-0.13897988193193,-1.9725,0,0
56,-0.13897987382422,-1.972,0,0
57,-0.13897986571651,-1.9715,0,0
58,-0.1389798576088,-1.971,0,0
59,-0.1389798495011,-1.9705,0,0
60,-0.13897984139339,-1.97,0,0
61,-0.13897983328568,-1.9695,0,0
62,-0.13897982517798,-1.969,0,0
63,-0.13897981707027,-1.9685,0,0
64,-0.13897980896256,-1.968,0,0
65,-0.13897980085485,-1.9675,0,0
66,-0.13897979274715,-1.967,0,0
67,-0.13897978463944,-1.9665,0,0
68,-0.13897977653173,-1.966,0,0
69,-0.13897976842403,-1.9655,0,0
70,-0.13897976031632,-1.965,0,0
71,-0.13897975220861,-1.9645,0,0
72,-0.1389797441009,-1.964,0,0
73,-0.1389797359932,-1.9635,0,0
74,-0.13897972788549,-1.963,0,0
75,-0.13897971977778,-1.9625,0,0
76,-0.13897971167008,-1.962,0,0
77,-0.13897970356237,-1.9615,0,0
78,-0.13897969545466,-1.961,0,0
79,-0.13897968734695,-1.9605,0,0
80,-0.13897967923925,-1.96,0,0
81,-0.13897967113154,-1.9595,0,0
82,-0.13897966302383,-1.959,0,0
83,-0.13897965491612,-1.9585,0,0
84,-0.13897964680842,-1.958,0,0
85,-0.13897963870071,-1.9575,0,0
86,-0.138979630593,-1.957,0,0
87,-0.1389796224853,-1.9565,0,0
88,-0.13897961437759,-1.956,0,0
89,-0.13897960626988,-1.9555,0,0
90,-0.13897959816217,-1.955,0,0
91,-0.13897959005447,-1.9545,0,0
92,-0.13897958194676,-1.954,0,0
93,-0.13897957383905,-1.9535,0,0
