id,psi_e,x,y,z
0,0,-2,0,0
1,-0.16002307552178,-1.9995,0,0
2,-0.11480064586192,-1.999,0,0
3,-0.12663099497067,-1.9985,0,0
4,-0.12347086588539,-1.998,0,0
5,-0.12431036197335,-1.9975,0,0
6,-0.12408703233795,-1.997,0,0
7,-0.12414643407261,-1.9965,0,0
8,-0.12413064561167,-1.996,0,0
9,-0.12413485492247,-1.9955,0,0
10,-0.12413374568413,-1.995,0,0
11,-0.12413405095928,-1.9945,0,0
12,-0.12413398003304,-1.994,0,0
13,-0.12413400916066,-1.9935,0,0
14,-0.12413401167814,-1.993,0,0
15,-0.12413402127281,-1.9925,0,0
16,-0.12413402898523,-1.992,0,0
17,-0.12413403719826,-1.9915,0,0
18,-0.12413404527815,-1.991,0,0
19,-0.12413405339344,-1.9905,0,0
20,-0.12413406149932,-1.99,0,0
21,-0.1241340696077,-1.9895,0,0
22,-0.12413407771542,-1.989,0,0
23,-0.12413408582332,-1.9885,0,0
24,-0.12413409393116,-1.988,0,0
25,-0.12413410203902,-1.9875,0,0
26,-0.12413411014688,-1.987,0,0
27,-0.12413411825474,-1.9865,0,0
28,-0.12413412636259,-1.986,0,0
29,-0.12413413447045,-1.9855,0,0
30,-0.12413414257831,-1.985,0,0
31,-0.12413415068617,-1.9845,0,0
32,-0.12413415879402,-1.984,0,0
33,-0.12413416690188,-1.9835,0,0
34,-0.12413417500974,-1.983,0,0
35,-0.1241341831176,-1.9825,0,0
36,-0.12413419122545,-1.982,0,0
37,-0.12413419933331,-1.9815,0,0
38,-0.12413420744117,-1.981,0,0
39,-0.12413421554902,-1.9805,0,0
40,-0.12413422365688,-1.98,0,0
41,-0.12413423176474,-1.9795,0,0
42,-0.1241342398726,-1.979,0,0
43,-0.12413424798045,-1.9785,0,0
44,-0.12413425608831,-1.978,0,0
45,-0.12413426419617,-1.9775,0,0
46,-0.12413427230402,-1.977,0,0
47,-0.12413428041188,-1.9765,0,0
48,-0.12413428851974,-1.976,0,0
49,-0.1241342966276,-1.9755,0,0
50,-0.12413430473545,-1.975,0,0
51,-0.12413431284331,-1.9745,0,0
52,-0.12413432095117,-1.974,0,0
53,-0.12413432905903,-1.9735,0,0
54,-0.12413433716688,-1.973,0,0
55,-0.12413434527474,-1.9725,0,0
56,-0.1241343533826,-1.972,0,0
57,-0.12413436149045,-1.9715,0,0
58,-0.12413436959831,-1.971,0,0
59,-0.12413437770617,-1.9705,0,0
60,-0.12413438581403,-1.97,0,0
61,-0.12413439392188,-1.9695,0,0
62,-0.12413440202974,-1.969,0,0
63,-0.1241344101376,-1.9685,0,0
64,-0.12413441824545,-1.968,0,0
65,-0.12413442635331,-1.9675,0,0
66,-0.12413443446117,-1.967,0,0
67,-0.12413444256903,-1.9665,0,0
68,-0.12413445067688,-1.966,0,0
69,-0.12413445878474,-1.9655,0,0
70,-0.1241344668926,-1.965,0,0
71,-0.12413447500045,-1.9645,0,0
72,-0.12413448310831,-1.964,0,0
73,-0.12413449121617,-1.9635,0,0
74,-0.12413449932403,-1.963,0,0
75,-0.12413450743188,-1.9625,0,0
76,-0.12413451553974,-1.962,0,0
77,-0.1241345236476,-1.9615,0,0
78,-0.12413453175546,-1.961,0,0
79,-0.12413453986331,-1.9605,0,0
80,-0.12413454797117,-1.96,0,0
81,-0.12413455607903,-1.9595,0,0
82,-0.12413456418688,-1.959,0,0
83,-0.12413457229474,-1.9585,0,0
84,-0.1241345804026,-1.958,0,0
85,-0.12413458851046,-1.9575,0,0
86,-0.12413459661831,-1.957,0,0
87,-0.12413460472617,-1.9565,0,0
88,-0.12413461283403,-1.956,0,0
89,-0.12413462094188,-1.9555,0,0
90,-0.12413462904974,-1.955,0,0
91,-0.1241346371576,-1.9545,0,0
92,-0.12413464526546,-1.954,0,0
93,-0.12413465337331,-1.9535,0,0
94,-0.12413466148117,-1.953,0,0
95,-0.12413466958903,-1.9525,0,0
96,-0.12413467769689,-1.952,0,0
