id,rho_e,x,y,z
0,1.8462169237089,-2,0,0
1,1.4078852400428,-1.9995,0,0
2,1.5244958491909,-1.999,0,0
3,1.4934849337935,-1.9985,0,0
4,1.5017327216147,-1.998,0,0
5,1.4995391674629,-1.9975,0,0
6,1.5001225621338,-1.997,0,0
7,1.4999674035878,-1.9965,0,0
8,1.5000086692835,-1.996,0,0
9,1.4999976943327,-1.9955,0,0
10,1.5000006132112,-1.995,0,0
11,1.4999998369114,-1.9945,0,0
12,1.5000000433747,-1.994,0,0
13,1.4999999884641,-1.9935,0,0
14,1.5000000030681,-1.993,0,0
15,1.499999999184,-1.9925,0,0
16,1.500000000217,-1.992,0,0
17,1.4999999999423,-1.9915,0,0
18,1.5000000000154,-1.991,0,0
19,1.4999999999959,-1.9905,0,0
20,1.5000000000011,-1.99,0,0
21,1.4999999999997,-1.9895,0,0
22,1.5000000000001,-1.989,0,0
23,1.5,-1.9885,0,0
24,1.5,-1.988,0,0
25,1.5,-1.9875,0,0
26,1.5,-1.987,0,0
27,1.5,-1.9865,0,0
28,1.5,-1.986,0,0
29,1.5,-1.9855,0,0
30,1.5,-1.985,0,0
31,1.5,-1.9845,0,0
32,1.5,-1.984,0,0
33,1.5,-1.9835,0,0
34,1.5,-1.983,0,0
35,1.5,-1.9825,0,0
36,1.5,-1.982,0,0
37,1.5,-1.9815,0,0
38,1.5,-1.981,0,0
39,1.5,-1.9805,0,0
40,1.5,-1.98,0,0
41,1.5,-1.9795,0,0
42,1.5,-1.979,0,0
43,1.5,-1.9785,0,0
44,1.5,-1.978,0,0
45,1.5,-1.9775,0,0
46,1.5,-1.977,0,0
47,1.5,-1.9765,0,0
48,1.5,-1.976,0,0
49,1.5,-1.9755,0,0
50,1.5,-1.975,0,0
51,1.5,-1.9745,0,0
52,1.5,-1.974,0,0
53,1.5,-1.9735,0,0
54,1.5,-1.973,0,0
55,1.5,-1.9725,0,0
56,1.5,-1.972,0,0
57,1.5,-1.9715,0,0
58,1.5,-1.971,0,0
59,1.5,-1.9705,0,0
60,1.5,-1.97,0,0
61,1.5,-1.9695,0,0
62,1.5,-1.969,0,0
63,1.5,-1.9685,0,0
64,1.5,-1.968,0,0
65,1.5,-1.9675,0,0
66,1.5,-1.967,0,0
67,1.5,-1.9665,0,0
68,1.5,-1.966,0,0
69,1.5,-1.9655,0,0
70,1.5,-1.965,0,0
71,1.5,-1.9645,0,0
72,1.5,-1.964,0,0
73,1.5,-1.9635,0,0
74,1.5,-1.963,0,0
75,1.5,-1.9625,0,0
76,1.5,-1.962,0,0
77,1.5,-1.9615,0,0
78,1.5,-1.961,0,0
79,1.5,-1.9605,0,0
80,1.5,-1.96,0,0
81,1.5,-1.9595,0,0
82,1.5,-1.959,0,0
83,1.5,-1.9585,0,0
84,1.5,-1.958,0,0
85,1.5,-1.9575,0,0
86,1.5,-1.957,0,0
87,1.5,-1.9565,0,0
88,1.5,-1.956,0,0
89,1.5,-1.9555,0,0
90,1.5,-1.955,0,0
91,1.5,-1.9545,0,0
92,1.5,-1.954,0,0
93,1.5,-1.9535,0,0
94,1.5,-1.953,0,0
95,1.5,-1.9525,0,0
96,1.5,-1.952,0,0
97,1.5,-1.9515,0,0
98,1.5,-1.951,0,0
99,1.5,-1.9505,0,0
100,1.5,-1.95,0,0
101,1.5,-1.9495,0,0
102,1.5,-1.949,0,0
103,1.5,-1.9485,0,0
104,1.5,-1.948,0,0
105,1.5,-1.9475,0,0
106,1.5,-1.947,0,0
107,1.5,-1.9465,0,0
108,1.5,-1.946,0,0
109,1.5,-1.9455,0,0
110,1.5,-1.945,0,0
111,1.5,-1.9445,0,0
112,1.5,-1.944,0,0
113,1.5,-1.9435,0,0
114,1.5,-1.943,0,0
115,1.5,-1.9425,0,0
116,1.5,-1.942,0,0
117,1.5,-1.9415,0,0
118,1.5,-1.941,0,0
119,1.5,-1.9405,0,0
120,1.5,-1.94,0,0
121,1.5,-1.9395,0,0
122,1.5,-1.939,0,0
123,1.5,-1.9385,0,0
124,1.5,-1.938,0,0
125,1.5,-1.9375,0,0
126,1.5,-1.937,0,0
127,1.5,-1.9365,0,0
128,1.5,-1.936,0,0
129,1.5,-1.9355,0,0
130,1.5,-1.935,0,0
131,1.5,-1.9345,0,0
132,1.5,-1.934,0,0
133,1.5,-1.9335,0,0
134,1.5,-1.933,0,0
135,1.5,-1.9325,0,0
136,1.5,-1.932,0,0
137,1.5,-1.9315,0,0
138,1.5,-1.931,0,0
139,1.5,-1.9305,0,0
140,1.5,-1.93,0,0
141,1.5,-1.9295,0,0
142,1.5,-1.929,0,0
143,1.5,-1.9285,0,0
144,1.5,-1.928,0,0
145,1.5,-1.9275,0,0
146,1.5,-1.927,0,0
147,1.5,-1.9265,0,0
148,1.5,-1.926,0,0
149,1.5,-1.9255,0,0
150,1.5,-1.925,0,0
151,1.5,-1.9245,0,0
152,1.5,-1.924,0,0
153,1.5,-1.9235,0,0
154,1.5,-1.923,0,0
155,1.5,-1.9225,0,0
156,1.5,-1.922,0,0
157,1.5,-1.9215,0,0
158,1.5,-1.921,0,0
159,1.5,-1.9205,0,0
160,1.5,-1.92,0,0
161,1.5,-1.9195,0,0
162,1.5,-1.919,0,0
163,1.5,-1.9185,0,0
164,1.5,-1.918,0,0
165,1.5,-1.9175,0,0
166,1.5,-1.917,0,0
167,1.5,-1.9165,0,0
168,1.5,-1.916,0,0
169,1.5,-1.9155,0,0
170,1.5,-1.915,0,0
171,1.5,-1.9145,0,0
172,1.5,-1.914,0,0
173,1.5,-1.9135,0,0
174,1.5,-1.913,0,0
175,1.5,-1.9125,0,0
176,1.5,-1.912,0,0
177,1.5,-1.9115,0,0
178,1.5,-1.911,0,0
