id,psi_e,x,y,z
0,0,-2,0,0
1,-0.045223518745333,-1.9996,0,0
2,-0.033042928134775,-1.9992,0,0
3,-0.036254447412974,-1.9988,0,0
4,-0.035402881865506,-1.9984,0,0
5,-0.035628342009381,-1.998,0,0
6,-0.035568623454047,-1.9976,0,0
7,-0.035584437608556,-1.9972,0,0
8,-0.035580247644165,-1.9968,0,0
9,-0.035581355688792,-1.9964,0,0
10,-0.035581060585034,-1.996,0,0
11,-0.035581137097899,-1.9956,0,0
12,-0.035581115190053,-1.9952,0,0
13,-0.035581119348418,-1.9948,0,0
14,-0.035581116603284,-1.9944,0,0
15,-0.035581115686504,-1.994,0,0
16,-0.035581114285495,-1.9936,0,0
17,-0.035581113012732,-1.9932,0,0
18,-0.035581111706003,-1.9928,0,0
19,-0.03558111040827,-1.9924,0,0
20,-0.035581109108154,-1.992,0,0
21,-0.03558110780867,-1.9916,0,0
22,-0.035581106509018,-1.9912,0,0
23,-0.03558110520941,-1.9908,0,0
24,-0.035581103909792,-1.9904,0,0
25,-0.035581102610175,-1.99,0,0
26,-0.035581101310559,-1.9896,0,0
27,-0.035581100010942,-1.9892,0,0
28,-0.035581098711325,-1.9888,0,0
29,-0.035581097411708,-1.9884,0,0
30,-0.035581096112092,-1.988,0,0
31,-0.035581094812475,-1.9876,0,0
32,-0.035581093512858,-1.9872,0,0
33,-0.035581092213242,-1.9868,0,0
34,-0.035581090913625,-1.9864,0,0
35,-0.035581089614008,-1.986,0,0
36,-0.035581088314391,-1.9856,0,0
37,-0.035581087014775,-1.9852,0,0
38,-0.035581085715158,-1.9848,0,0
39,-0.035581084415541,-1.9844,0,0
40,-0.035581083115925,-1.984,0,0
41,-0.035581081816308,-1.9836,0,0
42,-0.035581080516691,-1.9832,0,0
43,-0.035581079217074,-1.9828,0,0
44,-0.035581077917458,-1.9824,0,0
45,-0.035581076617841,-1.982,0,0
46,-0.035581075318224,-1.9816,0,0
47,-0.035581074018608,-1.9812,0,0
48,-0.035581072718991,-1.9808,0,0
49,-0.035581071419374,-1.9804,0,0
50,-0.035581070119758,-1.98,0,0
51,-0.035581068820141,-1.9796,0,0
52,-0.035581067520524,-1.9792,0,0
53,-0.035581066220907,-1.9788,0,0
