id,psi_e,x,y,z
0,0,-2,0,0
1,-0.041638895184045,-1.9996,0,0
2,-0.03043887013644,-1.9992,0,0
3,-0.033392922730101,-1.9988,0,0
4,-0.032609704680753,-1.9984,0,0
5,-0.032817077556237,-1.998,0,0
6,-0.032762153372711,-1.9976,0,0
7,-0.032776701104206,-1.9972,0,0
8,-0.032772849836661,-1.9968,0,0
9,-0.032773871467029,-1.9964,0,0
10,-0.032773602537218,-1.996,0,0
11,-0.032773675405617,-1.9956,0,0
12,-0.032773657750553,-1.9952,0,0
13,-0.032773664070156,-1.9948,0,0
14,-0.032773664040194,-1.9944,0,0
15,-0.032773665691881,-1.994,0,0
16,-0.032773666898192,-1.9936,0,0
17,-0.032773668222458,-1.9932,0,0
18,-0.032773669515485,-1.9928,0,0
19,-0.032773670816785,-1.9924,0,0
20,-0.032773672115894,-1.992,0,0
21,-0.032773673415584,-1.9916,0,0
22,-0.032773674715119,-1.9912,0,0
23,-0.032773676014696,-1.9908,0,0
24,-0.032773677314261,-1.9904,0,0
25,-0.032773678613829,-1.99,0,0
26,-0.032773679913397,-1.9896,0,0
27,-0.032773681212965,-1.9892,0,0
28,-0.032773682512533,-1.9888,0,0
29,-0.032773683812101,-1.9884,0,0
30,-0.032773685111669,-1.988,0,0
31,-0.032773686411237,-1.9876,0,0
32,-0.032773687710805,-1.9872,0,0
33,-0.032773689010372,-1.9868,0,0
34,-0.03277369030994,-1.9864,0,0
35,-0.032773691609508,-1.986,0,0
36,-0.032773692909076,-1.9856,0,0
37,-0.032773694208644,-1.9852,0,0
38,-0.032773695508212,-1.9848,0,0
39,-0.032773696807779,-1.9844,0,0
40,-0.032773698107347,-1.984,0,0
41,-0.032773699406915,-1.9836,0,0
42,-0.032773700706483,-1.9832,0,0
43,-0.032773702006051,-1.9828,0,0
44,-0.032773703305619,-1.9824,0,0
45,-0.032773704605186,-1.982,0,0
46,-0.032773705904754,-1.9816,0,0
47,-0.032773707204322,-1.9812,0,0
48,-0.03277370850389,-1.9808,0,0
49,-0.032773709803458,-1.9804,0,0
50,-0.032773711103026,-1.98,0,0
51,-0.032773712402593,-1.9796,0,0
52,-0.032773713702161,-1.9792,0,0
53,-0.032773715001729,-1.9788,0,0
54,-0.032773716301297,-1.9784,0,0
55,-0.032773717600865,-1.978,0,0
56,-0.032773718900433,-1.9776,0,0
57,-0.032773720200001,-1.9772,0,0
58,-0.032773721499568,-1.9768,0,0
59,-0.032773722799136,-1.9764,0,0
60,-0.032773724098704,-1.976,0,0
61,-0.032773725398272,-1.9756,0,0
62,-0.03277372669784,-1.9752,0,0
63,-0.032773727997408,-1.9748,0,0
64,-0.032773729296975,-1.9744,0,0
65,-0.032773730596543,-1.974,0,0
66,-0.032773731896111,-1.9736,0,0
67,-0.032773733195679,-1.9732,0,0
68,-0.032773734495247,-1.9728,0,0
69,-0.032773735794815,-1.9724,0,0
70,-0.032773737094383,-1.972,0,0
71,-0.03277373839395,-1.9716,0,0
72,-0.032773739693518,-1.9712,0,0
73,-0.032773740993086,-1.9708,0,0
74,-0.032773742292654,-1.9704,0,0
75,-0.032773743592222,-1.97,0,0
76,-0.03277374489179,-1.9696,0,0
77,-0.032773746191357,-1.9692,0,0
78,-0.032773747490925,-1.9688,0,0
79,-0.032773748790493,-1.9684,0,0
80,-0.032773750090061,-1.968,0,0
81,-0.032773751389629,-1.9676,0,0
82,-0.032773752689197,-1.9672,0,0
83,-0.032773753988765,-1.9668,0,0
84,-0.032773755288332,-1.9664,0,0
85,-0.0327737565879,-1.966,0,0
86,-0.032773757887468,-1.9656,0,0
87,-0.032773759187036,-1.9652,0,0
88,-0.032773760486604,-1.9648,0,0
89,-0.032773761786172,-1.9644,0,0
90,-0.032773763085739,-1.964,0,0
91,-0.032773764385307,-1.9636,0,0
92,-0.032773765684875,-1.9632,0,0
93,-0.032773766984443,-1.9628,0,0
94,-0.032773768284011,-1.9624,0,0
95,-0.032773769583579,-1.962,0,0
96,-0.032773770883146,-1.9616,0,0
97,-0.032773772182714,-1.9612,0,0
98,-0.032773773482282,-1.9608,0,0
99,-0.03277377478185,-1.9604,0,0
100,-0.032773776081418,-1.96,0,0
101,-0.032773777380986,-1.9596,0,0
102,-0.032773778680554,-1.9592,0,0
103,-0.032773779980121,-1.9588,0,0
104,-0.032773781279689,-1.9584,0,0
105,-0.032773782579257,-1.958,0,0
106,-0.032773783878825,-1.9576,0,0
107,-0.032773785178393,-1.9572,0,0
108,-0.032773786477961,-1.9568,0,0
109,-0.032773787777528,-1.9564,0,0
110,-0.032773789077096,-1.956,0,0
111,-0.032773790376664,-1.9556,0,0
112,-0.032773791676232,-1.9552,0,0
113,-0.0327737929758,-1.9548,0,0
114,-0.032773794275368,-1.9544,0,0
115,-0.032773795574935,-1.954,0,0
116,-0.032773796874503,-1.9536,0,0
117,-0.032773798174071,-1.9532,0,0
118,-0.032773799473639,-1.9528,0,0
119,-0.032773800773207,-1.9524,0,0
120,-0.032773802072775,-1.952,0,0
121,-0.032773803372342,-1.9516,0,0
122,-0.03277380467191,-1.9512,0,0
123,-0.032773805971478,-1.9508,0,0
124,-0.032773807271046,-1.9504,0,0
125,-0.032773808570614,-1.95,0,0
126,-0.032773809870182,-1.9496,0,0
127,-0.03277381116975,-1.9492,0,0
128,-0.032773812469318,-1.9488,0,0
129,-0.032773813768885,-1.9484,0,0
130,-0.032773815068453,-1.948,0,0
131,-0.032773816368021,-1.9476,0,0
132,-0.032773817667589,-1.9472,0,0
133,-0.032773818967157,-1.9468,0,0
134,-0.032773820266725,-1.9464,0,0
135,-0.032773821566292,-1.946,0,0
136,-0.03277382286586,-1.9456,0,0
137,-0.032773824165428,-1.9452,0,0
138,-0.032773825464996,-1.9448,0,0
139,-0.032773826764564,-1.9444,0,0
140,-0.032773828064132,-1.944,0,0
141,-0.032773829363699,-1.9436,0,0
142,-0.032773830663267,-1.9432,0,0
143,-0.032773831962835,-1.9428,0,0
144,-0.032773833262403,-1.9424,0,0
145,-0.032773834561971,-1.942,0,0
146,-0.032773835861539,-1.9416,0,0
147,-0.032773837161106,-1.9412,0,0
148,-0.032773838460674,-1.9408,0,0
149,-0.032773839760242,-1.9404,0,0
150,-0.03277384105981,-1.94,0,0
151,-0.032773842359378,-1.9396,0,0
152,-0.032773843658946,-1.9392,0,0
153,-0.032773844958514,-1.9388,0,0
154,-0.032773846258081,-1.9384,0,0
155,-0.032773847557649,-1.938,0,0
156,-0.032773848857217,-1.9376,0,0
157,-0.032773850156785,-1.9372,0,0
158,-0.032773851456353,-1.9368,0,0
159,-0.032773852755921,-1.9364,0,0
160,-0.032773854055488,-1.936,0,0
161,-0.032773855355056,-1.9356,0,0
162,-0.032773856654624,-1.9352,0,0
163,-0.032773857954192,-1.9348,0,0
164,-0.03277385925376,-1.9344,0,0
165,-0.032773860553328,-1.934,0,0
166,-0.032773861852895,-1.9336,0,0
167,-0.032773863152463,-1.9332,0,0
168,-0.032773864452031,-1.9328,0,0
169,-0.032773865751599,-1.9324,0,0
170,-0.032773867051167,-1.932,0,0
171,-0.032773868350735,-1.9316,0,0
172,-0.032773869650303,-1.9312,0,0
173,-0.03277387094987,-1.9308,0,0
174,-0.032773872249438,-1.9304,0,0
175,-0.032773873549006,-1.93,0,0
176,-0.032773874848574,-1.9296,0,0
177,-0.032773876148142,-1.9292,0,0
178,-0.03277387744771,-1.9288,0,0
179,-0.032773878747278,-1.9284,0,0
180,-0.032773880046845,-1.928,0,0
181,-0.032773881346413,-1.9276,0,0
182,-0.032773882645981,-1.9272,0,0
183,-0.032773883945549,-1.9268,0,0
184,-0.032773885245117,-1.9264,0,0
185,-0.032773886544685,-1.926,0,0
186,-0.032773887844253,-1.9256,0,0
187,-0.03277388914382,-1.9252,0,0
188,-0.032773890443388,-1.9248,0,0
189,-0.032773891742956,-1.9244,0,0
190,-0.032773893042524,-1.924,0,0
